Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Low sitting/standing (stationary),Waiting Area,Adult,{},{3;1;7},[3249.004923289409;31466.84840957634;-7849.038097308483]
0,1,Foraging,Waiting Area,Adult,{3;2},{0;3;7;2},[8819.410980164073;29680.35156803578;-10294.674767723307]
0,2,Foraging,Foraging,Adult,{3;1},{3;1;7},[8908.940438810736;27180.04879015684;-11610.052712146193]
0,3,Foraging,Foraging,Adult,{1;2},{0;1;7;2},[6776.256825271528;27098.745062263682;-10898.158048222773]
0,7,Foraging,Foraging,Adult,{},{0;1;3;2},[2860.0986882764846;24862.784604370594;-10680.610375925899]
1,0,Foraging,Waiting Area,Adult,{},{3;1;7;2},[3511.420652717352;31607.882370591164;-7798.617673590779]
1,1,Foraging,Waiting Area,Adult,{2},{0;3;2},[10619.412056490779;29921.903761789203;-10678.53221540898]
1,2,Foraging,Foraging,Adult,{3;1},{0;1;3;7},[8961.305103767663;27314.051703169942;-11554.736301928759]
1,3,Foraging,Foraging,Adult,{2},{0;1;7;2},[6633.329910779372;27082.6042695567;-10867.236512105912]
1,7,Foraging,Foraging,Adult,{},{0;3;2},[2962.134743224364;25070.357713915408;-10642.39449759759]
2,0,Foraging,Waiting Area,Adult,{},{3;7},[3668.2600883261766;31625.283290881664;-7824.307004381437]
2,1,Foraging,Waiting Area,Adult,{2},{3;2},[11103.463516596705;29954.830029934645;-10856.498301398009]
2,2,Foraging,Foraging,Adult,{3;1},{3;1;7},[9260.82365500927;27343.698171943426;-11658.480103582144]
2,3,Foraging,Foraging,Adult,{2},{0;1;7;2},[6761.281428031623;27053.412606477737;-10915.640780031681]
2,7,Foraging,Foraging,Adult,{},{0;3;2},[2972.405321676284;25119.528445869684;-10629.8830563128]
3,0,Foraging,Waiting Area,Adult,{},{3;6;7},[2667.273481667042;31595.469430804253;-7597.268601149321]
3,1,Foraging,Waiting Area,Adult,{2},{3;2},[11187.321905851364;29785.005886912346;-10983.372317671776]
3,2,Foraging,Foraging,Adult,{3;1},{3;1;6;7},[9238.006248116493;27377.279932372272;-11629.179965741932]
3,3,Foraging,Foraging,Adult,{2},{0;6;2;7;1},[6618.062585682608;27034.305902507156;-10884.862109873444]
3,6,Foraging,Foraging,Adult,{7},{0;3;7;2},[1920.8991803816753;27306.99664919451;-9665.824401752092]
3,7,Foraging,Foraging,Adult,{6},{0;6;3;2},[2991.1782876588404;25213.665790498257;-10600.863739177585]
4,0,Foraging,Waiting Area,Adult,{5},{3;5;4;7},[2192.403339639306;31536.392189502716;-7560.182314425707]
4,1,Foraging,Foraging,Adult,{3;2},{3;5;2;7;4},[9903.858230173588;29126.749149352312;-10906.709590606391]
4,2,Foraging,Foraging,Adult,{3;1},{3;5;7;1;4},[9043.49415767286;27250.73262515664;-11623.447247738019]
4,3,Foraging,Foraging,Adult,{1;4;2},{0;5;2;7;1;4},[6776.256825271528;27098.745062263682;-10898.158048222773]
4,4,Foraging,Foraging,Adult,{3;5;7},{0;3;5;2;7;1},[4619.402185641229;27259.42353311181;-10305.254176527262]
4,5,Foraging,Foraging,Adult,{0;4;7},{0;3;2;7;1;4},[2408.7345687579364;28247.119489133358;-9459.858721267432]
4,7,Foraging,Foraging,Adult,{5;4},{0;3;5;2;1;4},[3032.7280762800947;25264.532678753138;-10593.02894096449]
5,0,Foraging,Waiting Area,Adult,{5},{3;5;4;7},[1573.530135622248;31526.75753606856;-7475.584173070267]
5,1,Foraging,Foraging,Adult,{3;2},{3;5;2;7;4},[9920.730061531067;29170.172687530518;-10884.288415908813]
5,2,Foraging,Foraging,Adult,{3;1},{3;5;7;1;4},[9160.116624025628;27272.171847069636;-11651.924079490826]
5,3,Foraging,Foraging,Adult,{1;4;2},{0;5;2;7;1;4},[6659.066011831164;26946.578435771167;-10933.694874223322]
5,4,Foraging,Foraging,Adult,{3;5;7},{0;3;5;2;7;1},[4751.582862631418;27382.72313629836;-10295.617384735495]
5,5,Foraging,Foraging,Adult,{0;4;7},{0;3;2;7;1;4},[2206.545912743546;28288.098556756973;-9408.039675332606]
5,7,Foraging,Foraging,Adult,{5;4},{0;3;5;2;1;4},[3032.7280762800947;25264.532678753138;-10593.02894096449]
6,0,Foraging,Waiting Area,Adult,{5},{3;5;4;7},[1419.5468921181746;31515.06627768092;-7453.21508705616]
6,1,Foraging,Foraging,Adult,{3;2},{3;4;2},[10001.513195604086;29183.8380420357;-10903.656045105308]
6,2,Foraging,Foraging,Adult,{3;1},{3;5;7;1;4},[8925.2416048944;27223.288227379322;-11591.054979592562]
6,3,Foraging,Foraging,Adult,{1;4;2},{0;5;2;7;1;4},[6789.061427216977;26921.404814891517;-10983.421564783901]
6,4,Foraging,Foraging,Adult,{3;5;7},{0;3;5;2;7;1},[4883.277591899037;27497.168368518353;-10283.32266132161]
6,5,Foraging,Foraging,Adult,{0;4;7},{0;3;2;7;4},[2136.496780179441;28287.79652428627;-9396.48548835516]
6,7,Foraging,Foraging,Adult,{5;4},{0;3;5;2;4},[3032.7280762800947;25264.532678753138;-10593.02894096449]
7,0,Foraging,Waiting Area,Adult,{5},{5;4;7},[1349.2605638778768;31544.450843133032;-7409.812546900008]
7,1,Foraging,Foraging,Adult,{3;2},{3;5;2;7;4},[9920.730061531067;29170.172687530518;-10884.288415908813]
7,2,Foraging,Foraging,Adult,{3;1;4},{3;5;7;1;4},[8908.940438810736;27180.04879015684;-11610.052712146193]
7,3,Foraging,Foraging,Adult,{1;4;2},{5;2;7;1;4},[6949.4122946048155;26989.33003793657;-10998.722804969177]
7,4,Foraging,Foraging,Adult,{3;5;7;2},{0;3;5;2;7;1},[5188.887191038579;27215.193790510297;-10452.649674482644]
7,5,Foraging,Foraging,Adult,{0;4;7},{0;3;2;7;1;4},[2126.0789298580494;28224.57219813764;-9413.411547372118]
7,7,Foraging,Foraging,Adult,{5;4},{0;3;5;2;1;4},[3032.7280762800947;25264.532678753138;-10593.02894096449]
8,0,Foraging,Waiting Area,Adult,{},{5;4},[1181.0237808385864;31462.99223844707;-7449.553257856518]
8,1,Foraging,Foraging,Adult,{3;2},{3;5;4;2},[9758.315046869218;29144.585589487106;-10847.859849642962]
