Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Dig burrow,Sand Area,Adult,{},{},[-41541.60335859656;64743.194277726114;21374.79317542538]
0,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-27161.457086905837;58251.141566723585;-20110.998209625483]
0,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17336.887656793;64943.9094940424;-32829.880851745605]
0,3,Interact with pup,Around Mound,Adult,{8;7},{8;5;6;7},[-47755.330892816186;62458.038260638714;-3558.9454413438216]
0,5,Low sitting/standing (stationary),Around Mound,Adult,{6;7},{3;8;6;7},[-46328.070237636566;62747.51504331827;693.0049117365852]
0,6,None,Around Mound,Pup,{5;7},{3;8;5;7},[-44171.621204301715;63047.402336690575;-507.03770691581303]
0,7,None,Around Mound,Pup,{3;8;5;6},{3;8;5;6},[-45407.67844951153;62815.91391259432;-2137.3905465342104]
0,8,None,Around Mound,Pup,{3;7},{3;5;6;7},[-47250.669505894184;62513.54383276403;-3962.0728228148073]
1,0,Dig burrow,Sand Area,Adult,{},{},[-43248.64703295007;64313.38987767324;21334.689345164225]
1,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-27155.094889119267;58250.48916602135;-20031.778882548213]
1,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17336.887656793;64943.9094940424;-32829.880851745605]
1,3,Interact with pup,Around Mound,Adult,{8;7},{8;5;6;7},[-47846.425164580345;62437.397592782974;-3646.787727214396]
1,5,Low sitting/standing (stationary),Around Mound,Adult,{6;7},{3;8;6;7},[-46294.32999353856;62729.62275493145;272.983074976597]
1,6,None,Around Mound,Pup,{5;7},{3;8;5;7},[-44171.621204301715;63047.402336690575;-507.03770691581303]
1,7,None,Around Mound,Pup,{3;8;5;6},{3;8;5;6},[-45407.67844951153;62815.91391259432;-2137.3905465342104]
1,8,None,Around Mound,Pup,{3;7},{3;5;6;7},[-47250.669505894184;62513.54383276403;-3962.0728228148073]
2,0,Dig burrow,Sand Area,Adult,{},{},[-43248.64703295007;64313.38987767324;21334.689345164225]
2,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-27155.094889119267;58250.48916602135;-20031.778882548213]
2,2,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17336.887656793;64943.9094940424;-32829.880851745605]
2,3,Interact with pup,Around Mound,Adult,{8;7},{8;5;6;7},[-48030.62914335728;62401.609131768346;-3737.1021588090807]
