Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Interacting with foreign object,Foraging,Adult,{1;2},{3;1;2},[-2805.251367298886;43048.41368621588;-14083.316866159439]
0,1,Interacting with foreign object,Foraging,Adult,{0;2},{0;5;3;2},[-480.2491509618703;43018.1864348948;-14986.538098208606]
0,2,Moving,Foraging,Adult,{0;1},{0;1;5;3},[-641.0746898384532;42389.40354710072;-15994.244992388412]
0,3,Moving,Foraging,Adult,{5},{0;1;5;2},[3393.846829188289;42319.77617928013;-16857.87515698932]
0,4,Moving,Foraging,Adult,{},{},[16579.68109801039;42076.13341618329;-21591.549575075507]
0,5,Foraging,Foraging,Adult,{3},{3;1;2},[6258.767130801454;43006.300292000175;-15581.64323047921]
0,6,High sitting/standing (Vigilant),Background,Adult,{},{},[37929.4855479002;38274.31716275215;-21852.496957063675]
1,0,Interacting with foreign object,Foraging,Adult,{2},{3;2},[-4078.935714364052;43038.8598985672;-13818.874806165695]
1,2,Moving,Foraging,Adult,{0;3},{0;5;3},[-1080.4945739568211;42512.57834869623;-15697.602866422385]
1,3,Moving,Foraging,Adult,{2},{0;5;2},[1054.7889428138733;42187.54642495513;-16938.903507366776]
1,4,Moving,Foraging,Adult,{},{},[14835.899658801034;42560.64485826343;-20452.911051616073]
1,5,Foraging,Foraging,Adult,{},{3;2},[6241.388245421462;42978.209095053375;-15682.585366336629]
1,6,High sitting/standing (Vigilant),Background,Adult,{},{},[37950.12866449356;38295.964692115784;-21802.908066034317]
2,0,Interacting with foreign object,Foraging,Adult,{},{3},[-5707.181837210432;44168.77413401008;-12333.93597638607]
2,2,Moving,Foraging,Adult,{5},{3;5},[3859.8508690241724;43370.76141324639;-15006.84590844065]
2,3,Moving,Foraging,Adult,{},{0;5;2},[-568.6578149129637;42660.34743088484;-15530.926743745804]
2,4,Moving,Foraging,Adult,{},{},[14445.744805595838;42911.1301657483;-19483.10961949639]
2,5,Foraging,Foraging,Adult,{2},{3;2},[6241.388245421462;42978.209095053375;-15682.585366336629]
2,6,High sitting/standing (Vigilant),Background,Adult,{},{},[37973.53363388777;38320.49173873663;-21755.753606766462]
3,0,Interacting with foreign object,Foraging,Adult,{3;1},{3;1},[-7273.680290815886;43804.30948610231;-12517.172396143898]
3,1,Interacting with foreign object,Foraging,Adult,{0;3},{0;3},[-9482.069925406948;45289.12688202411;-11324.314697055146]
3,2,Moving,Foraging,Adult,{},{4},[9155.190033879131;43434.599879451096;-16357.536132322624]
3,3,Moving,Foraging,Adult,{0;1},{0;1},[-5789.410828590393;44806.05601501465;-11758.089632034302]
3,4,Foraging,Foraging,Adult,{},{2},[14476.14961451292;42958.726671636105;-19325.621628195047]
3,6,High sitting/standing (Vigilant),Background,Adult,{},{},[37973.53363388777;38320.49173873663;-21755.753606766462]
4,0,Moving,Foraging,Adult,{},{5},[1140.1641657998553;46275.98263494298;-14629.91342916619]
4,1,Interacting with foreign object,Foraging,Adult,{3},{3},[-9320.24769221805;44523.90008085966;-11825.591825278476]
4,2,Low sitting/standing (stationary),Foraging,Adult,{},{5;4},[10513.27989255637;43277.84251451492;-17056.974750861526]
4,3,Interacting with foreign object,Foraging,Adult,{1},{1},[-8027.712667458691;45140.57021394372;-11492.838807597756]
4,4,Foraging,Foraging,Adult,{},{2},[14614.23047086224;42999.12061689794;-19246.935153648257]
4,5,Foraging,Foraging,Adult,{},{0;2},[6057.528576755896;43099.02404141426;-15582.300059061497]
4,6,High sitting/standing (Vigilant),Background,Adult,{},{},[37996.852180719376;38345.72587442398;-21709.17045867443]
5,0,Moving,Waiting Area,Adult,{},{},[20920.6618995741;48613.41227801144;-17231.21861937642]
5,1,Moving,Foraging,Adult,{4;2},{5;4;2},[13275.061224661767;43708.046609241515;-17153.065362062305]
5,2,High sitting/standing (Vigilant),Foraging,Adult,{1;4},{5;1;4},[11760.915692735463;43406.46981208399;-17553.22081221454]
5,4,Low sitting/standing (stationary),Foraging,Adult,{1;2},{1;2},[14842.623293027282;43005.224567860365;-19353.160548478365]
5,5,Moving,Foraging,Adult,{},{1;2},[6208.090832494199;43025.14888818562;-15579.613792013377]
5,6,High sitting/standing (Vigilant),Background,Adult,{},{},[38162.294678755105;38359.09403388947;-21692.363324269652]
6,0,Moving,Waiting Area,Adult,{1},{1;4;2},[16644.427752882242;44345.30779826641;-16530.77834137529]
6,1,Moving,Foraging,Adult,{0},{0;4;2},[18521.45156327635;42980.552695944905;-19592.51706713438]
6,2,Moving,Foraging,Adult,{4},{0;1;4},[12804.912983413786;43206.85727189481;-18025.798874169588]
6,4,Moving,Foraging,Adult,{2},{0;1;2},[11799.394179046154;42858.13051390648;-19147.03285217285]
6,5,Moving,Waiting Area,Adult,{},{},[-865.9866409585229;47959.98763166368;-8120.7480531791225]
6,6,Moving,Background,Adult,{},{},[37908.35046971589;38252.440766468644;-21903.205255206674]
7,0,Moving,Foraging,Adult,{},{2},[16496.3311315421;43840.5393211171;-17368.278196994215]
7,1,Moving,Foraging,Adult,{2},{4;2},[8306.353279035538;43035.02468726039;-17187.094105765224]
7,2,Moving,Foraging,Adult,{1},{0;1},[10017.98773998022;43279.937041044235;-16915.15053856373]
7,4,Moving,Foraging,Adult,{},{1},[2158.25944468379;43235.22416931391;-15353.540798425674]
7,5,Moving,Waiting Area,Adult,{},{},[12216.341787740588;49839.34686848521;-9977.893831633031]
7,6,High sitting/standing (Vigilant),Background,Adult,{},{},[38054.75641492009;38245.92485353351;-21935.919806689024]
8,0,Foraging,Foraging,Adult,{},{2},[16057.807669799775;43908.760838449;-17188.198666729033]
8,1,Moving,Foraging,Adult,{},{4},[1665.5210816022009;42832.09452139586;-15946.264710282907]
8,2,High sitting/standing (Vigilant),Foraging,Adult,{},{0;4},[11023.303904748522;43305.026691328734;-17153.10707478039]
8,4,Moving,Foraging,Adult,{},{1;2},[5850.543857693672;43175.75298666954;-15574.773380547762]
8,6,High sitting/standing (Vigilant),Background,Adult,{},{},[37908.35046971589;38252.440766468644;-21903.205255206674]
9,1,Moving,Foraging,Adult,{},{},[1674.6974407065427;42868.62815374136;-15902.472366515547]
9,2,Foraging,Foraging,Adult,{5},{5;4},[10474.200048357248;43319.97053921223;-17006.182201325893]
9,3,High sitting/standing (Vigilant),Waiting Area,Adult,{},{4},[20821.766790157184;47704.931910425425;-17480.167500725016]
9,4,Moving,Foraging,Adult,{},{3;5;2},[15376.537517574616;44048.72162618488;-16687.13684300892]
9,5,Moving,Foraging,Adult,{2},{4;2},[11122.44503436517;43123.260223560035;-17992.408816173673]
9,6,High sitting/standing (Vigilant),Background,Adult,{},{},[37888.7882297039;38231.15902709961;-21951.752427369356]
10,1,Interacting with foreign object,Foraging,Adult,{5},{5;2},[5527.919336758554;43179.036915138364;-15530.29595348984]
10,2,Low sitting/standing (stationary),Foraging,Adult,{5},{5;1;4},[10652.203224289231;43361.58454731107;-17051.379544621333]
10,3,High sitting/standing (Vigilant),Waiting Area,Adult,{},{4},[20014.335455223918;47392.09105037153;-17497.961933791637]
10,4,Foraging,Foraging,Adult,{},{3;5;2},[15322.53061186336;43824.090457849205;-17026.055886287242]
10,5,Foraging,Foraging,Adult,{1;2},{1;4;2},[8673.698599986732;43012.26204097271;-17357.53727836907]
10,6,High sitting/standing (Vigilant),Background,Adult,{},{},[37888.7882297039;38231.15902709961;-21951.752427369356]
11,0,Foraging,Foraging,Adult,{4},{3;5;2;1;4},[16226.387967240065;43661.90071222931;-17619.638619616628]
11,1,Moving,Foraging,Adult,{5;4;2},{0;5;4;2},[11361.146227683872;43793.70796519518;-16257.461383216083]
11,2,Low sitting/standing (stationary),Foraging,Adult,{5;1;4},{0;1;5;4},[10848.355501446873;43295.93889847398;-17177.875399671495]
11,3,High sitting/standing (Vigilant),Waiting Area,Adult,{},{0;4},[20152.49850125611;48005.04300330579;-17572.00735307485]
11,4,Foraging,Foraging,Adult,{0;1;2},{0;3;5;2;1},[14809.34535936825;43515.55092776567;-17605.54343111068]
11,5,Foraging,Foraging,Adult,{1;2},{0;1;4;2},[8498.17791107297;43243.67713570595;-16885.148851841688]
11,6,High sitting/standing (Vigilant),Background,Adult,{},{},[37888.7882297039;38231.15902709961;-21951.752427369356]
12,0,Foraging,Foraging,Adult,{3;1;4},{3;5;2;1;4},[15729.447409674525;43546.804535865784;-18088.800080746412]
12,1,Moving,Foraging,Adult,{0;3;4;2},{0;3;5;2;4},[12656.449283774942;43847.53728826344;-16794.085622750223]
12,2,Moving,Foraging,Adult,{5;1;4},{0;3;5;1;4},[10492.429010525346;43236.165860556066;-17156.817554160953]
12,3,Moving,Foraging,Adult,{0;1;4},{0;1;4;2},[16608.071681812406;43826.352390155196;-17384.195769242942]
12,4,Foraging,Foraging,Adult,{0;1;3;2},{0;3;5;2;1},[14137.30244846642;43332.07119348645;-17836.08959493041]
12,5,Foraging,Foraging,Adult,{2},{0;1;4;2},[7965.6163017861545;43180.30883073807;-16486.197868943214]
12,6,High sitting/standing (Vigilant),Background,Adult,{},{},[37764.70291221142;38257.716049313545;-21930.79224562645]
13,1,High sitting/standing (Vigilant),Foraging,Adult,{3;4},{3;5;4;2},[12263.17999072373;43811.30631953478;-16535.23722437024]
13,2,Moving,Foraging,Adult,{5},{5;1;4},[7954.8810655567795;42792.81726966053;-17919.828965328634]
13,3,High sitting/standing (Vigilant),Foraging,Adult,{1;4},{1;4},[16121.405465133488;43787.62566433847;-17280.532752610743]
13,4,Foraging,Foraging,Adult,{3;1},{3;1;5;2},[13739.928628265858;43245.77820062637;-18091.51789188385]
13,5,Foraging,Foraging,Adult,{2},{1;4;2},[7130.713751371019;43191.13719303161;-16008.825108425692]
13,6,Low sitting/standing (stationary),Background,Adult,{},{},[38014.55112991482;38364.1176327467;-21656.555029859766]
14,1,High sitting/standing (Vigilant),Foraging,Adult,{4},{3;5;4;2},[11913.761302396655;43669.156270205975;-16723.050536382943]
14,2,Moving,Foraging,Adult,{5},{5;1;4},[6418.643459685147;42546.31690001488;-17343.694303959608]
14,3,High sitting/standing (Vigilant),Foraging,Adult,{4},{1;4},[16151.915123440325;43742.37370848656;-17452.504481449723]
14,4,Foraging,Foraging,Adult,{3;1},{3;1;5;2},[13898.163193892688;43315.37461416423;-17845.209445022047]
