Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17677.471465319395;64751.82931792736;-33795.37415483594]
0,1,Low sitting/standing (stationary),Sand Area,Adult,{},{},[-36784.50887989998;66776.39325809479;26817.550410032272]
0,2,Interact with pup,Sand Area,Adult,{3;10},{3;10;4},[-53160.443970531225;61684.95873168111;5824.826190093532]
0,3,Interact with pup,Sand Area,Adult,{4;2},{10;11;4;2},[-49564.83673119545;62291.48803052306;7076.171500608325]
0,4,Interact with pup,Sand Area,Adult,{3;10},{3;10;11;2},[-50960.98122837767;62162.99855240062;9999.08729709778]
0,5,Low sitting/standing (stationary),Sand Area,Adult,{},{11},[-47301.04803883284;63252.6593298465;20511.90191301331]
0,7,Lying/resting (stationary),Around Mound,Adult,{8;9},{8;9},[-41756.83092278242;63682.254137441516;399.5822325281333]
0,8,None,Around Mound,Pup,{9;7},{9;7},[-39277.45187757164;64335.79677017778;-1108.8830373618985]
0,9,None,Around Mound,Pup,{8;7},{8;7},[-43049.547786831856;63268.42168390751;-1224.7244614902884]
0,10,None,Sand Area,Pup,{4;2},{3;4;2},[-53889.64284795523;61649.19703423977;7979.613084562123]
0,11,None,Sand Area,Pup,{},{3;5;4},[-44603.69026034325;63285.6317111291;12992.060573906638]
1,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17677.471465319395;64751.82931792736;-33795.37415483594]
1,1,Low sitting/standing (stationary),Sand Area,Adult,{},{},[-36784.50887989998;66776.39325809479;26817.550410032272]
1,2,Low sitting/standing (stationary),Sand Area,Adult,{10},{3;10},[-54787.099356651306;61408.85860538483;5284.62286233902]
1,3,Interact with pup,Sand Area,Adult,{},{10;11;2},[-48388.88338750973;62503.083033792675;7862.911488126032]
1,4,Moving,Sand Area,Adult,{},{10},[-57123.78393906355;61728.771354071796;15543.868176918477]
1,5,Moving,Sand Area,Adult,{},{11},[-46859.32630139589;63207.84187555313;19218.87844505906]
1,7,Lying/resting (stationary),Around Mound,Adult,{8;9},{8;9},[-41756.83092278242;63682.254137441516;399.5822325281333]
1,8,None,Around Mound,Pup,{9;7},{9;7},[-39367.961209475994;64314.687077343464;-1032.4681513742544]
1,9,None,Around Mound,Pup,{8;7},{8;7},[-43049.547786831856;63268.42168390751;-1224.7244614902884]
1,10,None,Sand Area,Pup,{2},{3;4;2},[-55243.82004608959;61507.168214891106;9190.746480521746]
1,11,None,Sand Area,Pup,{},{3;5},[-44523.75897779688;63305.62855959311;13079.925803175196]
2,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17586.944996103644;64744.560861982405;-33782.529941767454]
