Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Moving,Foraging,Adult,{1;2},{1;2},[7593.490438017994;25702.701185837388;-11903.409248806536]
0,1,Foraging,Foraging,Adult,{0;2},{0;2},[9620.76622923091;26994.624133631587;-12017.182739168406]
0,2,High sitting/standing (Vigilant),Foraging,Adult,{0;1},{0;1},[8915.762754872441;25966.73040610552;-12377.60282318294]
0,3,Moving,Background,Adult,{},{},[28862.945289025083;35922.84641247615;-16744.530918056145]
0,4,Raised Guarding (Vigilant),Background,Adult,{},{},[32090.31931371987;29392.831148888916;-20414.352918360382]
1,0,Moving,Foraging,Adult,{1;2},{1;2},[5644.604621004313;26041.436035081744;-11003.996813893318]
1,1,Foraging,Foraging,Adult,{0;2},{0;2},[9223.618964672089;27251.979835748672;-11694.498256444931]
1,2,High sitting/standing (Vigilant),Foraging,Adult,{0;1},{0;1},[9051.97223156318;26300.347703643143;-12203.428015518934]
1,3,Moving,Background,Adult,{},{},[25529.337666630745;34153.21618127823;-16292.083382472396]
1,4,Raised Guarding (Vigilant),Background,Adult,{},{},[32090.31931371987;29392.831148888916;-20414.352918360382]
2,0,Moving,Foraging,Adult,{},{1;2},[2075.224445149768;25769.951887648553;-10197.42301671952]
2,1,Foraging,Foraging,Adult,{2},{0;2},[9348.655403152108;27655.51774348691;-11520.852930417284]
2,2,High sitting/standing (Vigilant),Foraging,Adult,{1},{0;1},[9030.290467672981;26330.899853570387;-12174.37204836402]
2,4,Raised Guarding (Vigilant),Background,Adult,{},{},[32090.31931371987;29392.831148888916;-20414.352918360382]
3,0,Moving,Foraging,Adult,{},{},[-619.4068113749963;26227.90570996888;-9584.659712878056]
3,1,Moving,Foraging,Adult,{2},{2},[9904.168810270727;28938.472599372268;-11004.927564434707]
3,2,High sitting/standing (Vigilant),Foraging,Adult,{1},{1},[8975.61621140223;26283.61842917092;-12181.467033633031]
3,4,Raised Guarding (Vigilant),Background,Adult,{},{},[32090.31931371987;29392.831148888916;-20414.352918360382]
4,0,Foraging,Foraging,Adult,{},{},[-1494.5105733908713;26401.46145489812;-9400.475787678733]
4,2,High sitting/standing (Vigilant),Foraging,Adult,{},{},[9036.995337856933;26262.823796387762;-12222.130817046389]
4,4,Raised Guarding (Vigilant),Background,Adult,{},{},[32090.31931371987;29392.831148888916;-20414.352918360382]
5,0,Foraging,Foraging,Adult,{},{},[-1358.5287585034966;26508.88777166605;-9384.773571297526]
5,2,High sitting/standing (Vigilant),Foraging,Adult,{},{},[8959.565586825833;26244.321058753878;-12200.620316026732]
5,4,Raised Guarding (Vigilant),Background,Adult,{},{},[32090.31931371987;29392.831148888916;-20414.352918360382]
6,0,Foraging,Foraging,Adult,{},{},[-1356.8187292143703;26563.415231592953;-9369.169511836022]
6,2,High sitting/standing (Vigilant),Foraging,Adult,{},{},[8930.239124400541;26344.363063819706;-12121.624433944002]
6,4,Raised Guarding (Vigilant),Background,Adult,{},{},[32090.31931371987;29392.831148888916;-20414.352918360382]
7,5,Moving,Foraging,Adult,{},{2},[12883.309976309538;28209.612347833812;-12768.571483008564]
7,0,Foraging,Foraging,Adult,{},{},[-1356.8187292143703;26563.415231592953;-9369.169511836022]
7,2,Moving,Foraging,Adult,{},{5},[7505.814875224605;25643.422349594533;-11898.615890927613]
7,4,Raised Guarding (Vigilant),Background,Adult,{},{},[32090.31931371987;29392.831148888916;-20414.352918360382]
8,5,Moving,Foraging,Adult,{2},{2},[9296.58410382364;27435.7032252755;-11623.599913718179]
8,0,Foraging,Foraging,Adult,{},{2},[-1389.4170678928494;26561.661990597844;-9365.664447434247]
8,1,Moving,Waiting Area,Adult,{},{},[10111.702838659286;39778.67983567715;-3306.2116709277034]
8,2,Moving,Foraging,Adult,{5},{0;5},[5816.2654666900635;25613.80414581299;-11222.39541053772]
8,4,Raised Guarding (Vigilant),Background,Adult,{},{},[32090.31931371987;29392.831148888916;-20414.352918360382]
9,5,Moving,Foraging,Adult,{},{2},[8108.66393109737;28740.003525733948;-10547.95338720642]
9,0,Foraging,Foraging,Adult,{},{2},[-1424.1137097105384;26561.796342477202;-9361.369172595441]
9,1,Moving,Waiting Area,Adult,{},{},[9366.430616877973;43324.67603393644;-346.30950774694793]
9,2,Moving,Foraging,Adult,{},{0;5},[4250.012250430882;25588.755106151104;-10809.675798505545]
9,4,Raised Guarding (Vigilant),Background,Adult,{},{},[32090.31931371987;29392.831148888916;-20414.352918360382]
10,0,Foraging,Foraging,Adult,{},{2},[-1424.1137097105384;26561.796342477202;-9361.369172595441]
