Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Dig burrow,Around Mound,Adult,{},{3;8;6;10;9;7},[-40182.135463647544;64343.30113609135;4405.913548599929]
0,1,Dig burrow,Sand Area,Adult,{},{},[-38113.82733096182;65564.68179869652;20551.540501005948]
0,3,Lying/resting (stationary),Around Mound,Adult,{10;8;6;9},{0;8;6;10;9;7},[-45733.060502275825;62893.507392540574;1382.809289666824]
0,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17508.470939591527;64857.81491346657;-33269.25866213441]
0,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7},{0;8;3;10;9;7},[-45285.4047396183;62852.92997020483;-622.2838611504994]
0,7,None,Around Mound,Pup,{10;8;6;9},{0;8;3;6;10;9},[-42684.09352157265;63347.321395382285;-1464.3466675058007]
0,8,None,Around Mound,Pup,{3;6;10;9;7},{0;3;6;10;9;7},[-45753.16200687736;62791.03762070462;-889.2876786295674]
0,9,None,Around Mound,Pup,{3;8;6;10;7},{0;8;3;6;10;7},[-44946.01704965532;62939.92982694507;-193.82945901024505]
0,10,None,Around Mound,Pup,{3;8;6;9;7},{0;8;3;6;7;9},[-43739.14293319732;63101.91065534949;-1831.4697934882715]
1,0,Dig burrow,Sand Area,Adult,{},{3;8;6;10;9;7},[-40551.94833327085;64251.78716672957;4731.473672953434]
1,1,Dig burrow,Sand Area,Adult,{},{},[-37937.7117626071;65610.65132600069;20559.52768586576]
1,3,Lying/resting (stationary),Around Mound,Adult,{10;8;6;9},{0;8;6;10;9;7},[-45635.656650185585;62906.713940382004;1386.4679563194513]
1,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17508.961933135986;64846.77163299918;-33355.8472263515]
1,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7},{0;8;3;10;9;7},[-45285.4047396183;62852.92997020483;-622.2838611504994]
1,7,None,Around Mound,Pup,{10;8;6;9},{0;8;3;6;10;9},[-42677.443291947246;63348.55470958352;-1550.5254398500547]
1,8,None,Around Mound,Pup,{3;6;10;9;7},{0;3;6;10;9;7},[-45753.16200687736;62791.03762070462;-889.2876786295674]
1,9,None,Around Mound,Pup,{3;8;6;10;7},{0;8;3;6;10;7},[-44946.01704965532;62939.92982694507;-193.82945901024505]
1,10,None,Around Mound,Pup,{3;8;6;9;7},{0;8;3;6;7;9},[-43833.93065452576;63087.17399978638;-1834.4198958873749]
2,0,Dig burrow,Sand Area,Adult,{},{3;8;6;10;9;7},[-41385.19031894207;64013.444460615516;4282.180221615359]
2,1,Dig burrow,Sand Area,Adult,{},{},[-37937.7117626071;65610.65132600069;20559.52768586576]
2,3,Lying/resting (stationary),Around Mound,Adult,{10;8;6;9},{0;8;6;10;9;7},[-45531.83075094223;62916.96576881409;1303.9199938178062]
2,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17509.28762960434;64835.48928451538;-33445.45464038849]
2,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7},{0;8;3;10;9;7},[-45285.4047396183;62852.92997020483;-622.2838611504994]
2,7,None,Around Mound,Pup,{10;8;6;9},{0;8;3;6;10;9},[-42675.125329740345;63348.996236369014;-1631.7445400385186]
2,8,None,Around Mound,Pup,{3;6;10;9;7},{0;3;6;10;9;7},[-45753.16200687736;62791.03762070462;-889.2876786295674]
2,9,None,Around Mound,Pup,{3;8;6;10;7},{0;8;3;6;10;7},[-44946.01704965532;62939.92982694507;-193.82945901024505]
2,10,None,Around Mound,Pup,{3;8;6;9;7},{0;8;3;6;7;9},[-43925.919898718596;63072.930253222585;-1837.2856081477366]
3,0,Dig burrow,Sand Area,Adult,{},{3;8;6;9},[-42762.96309095621;63684.29501925409;6359.848304592073]
3,1,Dig burrow,Sand Area,Adult,{},{},[-38030.96159641445;65540.77796500921;19998.87395466864]
3,3,Low sitting/standing (stationary),Around Mound,Adult,{10;8;6;9},{0;8;6;10;9;7},[-45361.33117413521;62953.770799696445;1560.8527202811092]
3,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17505.874326251447;64810.73212339729;-33524.8674948588]
3,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7},{0;8;3;10;9;7},[-45285.4047396183;62852.92997020483;-622.2838611504994]
3,7,None,Around Mound,Pup,{10;8;6;9},{3;8;6;10;9},[-42759.27228090167;63318.62138181925;-1635.006024598144]
3,8,None,Around Mound,Pup,{3;6;10;9;7},{0;3;6;10;9;7},[-45753.16200687736;62791.03762070462;-889.2876786295674]
3,9,None,Around Mound,Pup,{3;8;6;10;7},{0;8;3;6;10;7},[-44946.01704965532;62939.92982694507;-193.82945901024505]
3,10,None,Around Mound,Pup,{3;8;6;9;7},{3;8;6;9;7},[-43925.919898718596;63072.930253222585;-1837.2856081477366]
4,0,Dig burrow,Sand Area,Adult,{},{3},[-43272.35054846108;63488.031104628;8967.537815598771]
4,1,Dig burrow,Sand Area,Adult,{},{},[-37686.77823251486;65571.37481234968;19545.73779641837]
4,3,Low sitting/standing (stationary),Around Mound,Adult,{10;8;6;9},{0;8;6;10;9;7},[-45272.621853113174;62972.702269889414;1564.5961204732303]
4,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17505.874326251447;64810.73212339729;-33524.8674948588]
4,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7},{3;8;10;9;7},[-45295.72203719616;62863.647139430046;-539.309823510237]
4,7,None,Around Mound,Pup,{10;8;6;9},{3;8;6;10;9},[-42757.43536388874;63319.7761323452;-1718.071522925049]
4,8,None,Around Mound,Pup,{3;6;10;9;7},{3;6;10;9;7},[-45753.16200687736;62791.03762070462;-889.2876786295674]
4,9,None,Around Mound,Pup,{3;8;6;10;7},{3;8;6;10;7},[-44946.01704965532;62939.92982694507;-193.82945901024505]
4,10,None,Around Mound,Pup,{3;8;6;9;7},{3;8;6;9;7},[-43925.919898718596;63072.930253222585;-1837.2856081477366]
5,0,Dig burrow,Sand Area,Adult,{},{},[-43062.611532628536;63600.67265993357;11289.643340304494]
5,1,Low sitting/standing (stationary),Sand Area,Adult,{},{},[-37949.86350462586;65506.01821064204;19536.903165932745]
5,3,Low sitting/standing (stationary),Around Mound,Adult,{10;8;6;9},{8;6;10;9;7},[-45272.621853113174;62972.702269889414;1564.5961204732303]
5,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17497.15065987408;64773.43112564087;-33600.89490547776]
5,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7},{3;8;10;9;7},[-45295.72203719616;62863.647139430046;-539.309823510237]
5,7,None,Around Mound,Pup,{10;8;6;9},{3;8;6;10;9},[-42843.87917146087;63296.4701539278;-1721.0217229044065]
5,8,None,Around Mound,Pup,{3;6;10;9;7},{3;6;10;9;7},[-45753.16200687736;62791.03762070462;-889.2876786295674]
5,9,None,Around Mound,Pup,{3;8;6;10;7},{3;8;6;10;7},[-44946.01704965532;62939.92982694507;-193.82945901024505]
5,10,None,Around Mound,Pup,{3;8;6;9;7},{3;8;6;9;7},[-43923.63766396791;63073.39388566464;-1920.6637263735756]
6,0,Dig burrow,Sand Area,Adult,{},{},[-45970.801302179694;63167.43919759989;16150.557763591409]
6,1,Low sitting/standing (stationary),Sand Area,Adult,{},{},[-38036.182611465454;65479.18768596649;19534.101714611053]
6,3,Low sitting/standing (stationary),Around Mound,Adult,{10;8;6;9},{8;6;10;9;7},[-45272.621853113174;62972.702269889414;1564.5961204732303]
6,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17496.71328544244;64751.13981103152;-33684.73390579969]
6,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7},{3;8;10;9;7},[-45303.50361549854;62870.709582448006;-453.1973708746955]
6,7,None,Around Mound,Pup,{10;8;6;9},{3;8;6;10;9},[-42841.86462133378;63297.535085365176;-1804.3234556012321]
6,8,None,Around Mound,Pup,{3;6;10;9;7},{3;6;10;9;7},[-45753.16200687736;62791.03762070462;-889.2876786295674]
6,9,None,Around Mound,Pup,{3;8;6;10;7},{3;8;6;10;7},[-44946.01704965532;62939.92982694507;-193.82945901024505]
6,10,None,Around Mound,Pup,{3;8;6;9;7},{3;8;6;9;7},[-43923.63766396791;63073.39388566464;-1920.6637263735756]
7,0,Dig burrow,Sand Area,Adult,{},{},[-48246.38771276176;62755.386491425335;16144.426783762872]
7,1,Low sitting/standing (stationary),Sand Area,Adult,{},{},[-38036.182611465454;65479.18768596649;19534.101714611053]
7,3,Low sitting/standing (stationary),Around Mound,Adult,{10;8;6;9},{8;6;10;9;7},[-45272.621853113174;62972.702269889414;1564.5961204732303]
7,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17586.944996103644;64744.560861982405;-33782.529941767454]
7,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7},{3;8;10;9;7},[-45321.241795532405;62883.05977768451;-287.15758943971014]
7,7,None,Around Mound,Pup,{10;8;6;9},{3;8;6;10;9},[-42840.25450125337;63299.018383964896;-1888.028058867436]
7,8,None,Around Mound,Pup,{3;6;10;9;7},{3;6;10;9;7},[-45753.16200687736;62791.03762070462;-889.2876786295674]
7,9,None,Around Mound,Pup,{3;8;6;10;7},{3;8;6;10;7},[-44946.01704965532;62939.92982694507;-193.82945901024505]
7,10,None,Around Mound,Pup,{3;8;6;9;7},{3;8;6;9;7},[-43923.63766396791;63073.39388566464;-1920.6637263735756]
8,0,Dig burrow,Sand Area,Adult,{},{},[-51835.997504115105;62483.61148674786;19633.96772203222]
8,1,Low sitting/standing (stationary),Sand Area,Adult,{},{},[-38036.182611465454;65479.18768596649;19534.101714611053]
8,3,Low sitting/standing (stationary),Around Mound,Adult,{10;8;6;9},{8;6;10;9;7},[-45272.621853113174;62972.702269889414;1564.5961204732303]
8,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17586.944996103644;64744.560861982405;-33782.529941767454]
8,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7},{3;8;10;9;7},[-45333.10666616261;62891.766866371036;-118.1981563178415]
8,7,None,Around Mound,Pup,{10;8;6;9},{3;8;6;10;9},[-42840.25450125337;63299.018383964896;-1888.028058867436]
8,8,None,Around Mound,Pup,{3;6;10;9;7},{3;6;10;9;7},[-45753.16200687736;62791.03762070462;-889.2876786295674]
8,9,None,Around Mound,Pup,{3;8;6;10;7},{3;8;6;10;7},[-44946.01704965532;62939.92982694507;-193.82945901024505]
8,10,None,Around Mound,Pup,{3;8;6;9;7},{3;8;6;9;7},[-43923.63766396791;63073.39388566464;-1920.6637263735756]
9,0,Dig burrow,Sand Area,Adult,{},{},[-53354.551721811295;62323.94949269295;20212.78982721269]
9,1,Low sitting/standing (stationary),Sand Area,Adult,{},{},[-38036.182611465454;65479.18768596649;19534.101714611053]
9,3,Low sitting/standing (stationary),Around Mound,Adult,{8;6;10;9;4},{8;6;10;9;7;4},[-45272.621853113174;62972.702269889414;1564.5961204732303]
9,4,Groom,Around Mound,Adult,{3;8;6;10;9;7},{3;8;6;10;9;7},[-42861.800870999694;63306.09919039905;-1386.2060444985982]
9,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17584.0587836504;64721.54087358713;-33865.74667811394]
9,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7;4},{3;8;10;9;7;4},[-45333.10666616261;62891.766866371036;-118.1981563178415]
9,7,None,Around Mound,Pup,{8;6;10;9;4},{3;8;6;10;9;4},[-42926.15321296081;63281.90338785201;-1974.3515263594454]
9,8,None,Around Mound,Pup,{3;6;10;9;7;4},{3;6;10;9;7;4},[-45753.16200687736;62791.03762070462;-889.2876786295674]
9,9,None,Around Mound,Pup,{3;8;6;10;7;4},{3;8;6;10;7;4},[-44946.01704965532;62939.92982694507;-193.82945901024505]
9,10,None,Around Mound,Pup,{3;8;6;7;9;4},{3;8;6;7;9;4},[-43923.63766396791;63073.39388566464;-1920.6637263735756]
10,0,Dig burrow,Sand Area,Adult,{},{},[-53440.191902697086;62295.85200023651;20211.849438250065]
10,1,Low sitting/standing (stationary),Sand Area,Adult,{},{},[-38036.182611465454;65479.18768596649;19534.101714611053]
10,3,Low sitting/standing (stationary),Around Mound,Adult,{8;6;10;9;4},{8;6;10;9;7;4},[-45272.621853113174;62972.702269889414;1564.5961204732303]
10,4,Groom,Around Mound,Adult,{3;8;6;10;9;7},{3;8;6;10;9;7},[-43029.049878031015;63254.745195150375;-1558.8735158462077]
10,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17577.982391633093;64686.78876390308;-33942.751889422536]
10,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7;4},{3;8;10;9;7;4},[-45333.10666616261;62891.766866371036;-118.1981563178415]
10,7,None,Around Mound,Pup,{8;6;10;9;4},{3;8;6;10;9;4},[-43013.398573726416;63261.695133298635;-2059.849031687714]
10,8,None,Around Mound,Pup,{3;6;10;9;7;4},{3;6;10;9;7;4},[-45753.16200687736;62791.03762070462;-889.2876786295674]
10,9,None,Around Mound,Pup,{3;8;6;10;7;4},{3;8;6;10;7;4},[-44946.01704965532;62939.92982694507;-193.82945901024505]
10,10,None,Around Mound,Pup,{3;8;6;7;9;4},{3;8;6;7;9;4},[-43923.63766396791;63073.39388566464;-1920.6637263735756]
11,0,Dig burrow,Sand Area,Adult,{},{},[-53354.551721811295;62323.94949269295;20212.78982721269]
11,1,Dig burrow,Sand Area,Adult,{},{},[-38138.46063043922;65461.13930058852;19624.550311688334]
11,3,Low sitting/standing (stationary),Around Mound,Adult,{8;6;10;9;4},{8;6;10;9;7;4},[-45272.621853113174;62972.702269889414;1564.5961204732303]
11,4,Groom,Around Mound,Adult,{3;8;6;10;9;7},{3;8;6;10;9;7},[-43020.80806747079;63256.54486873746;-1726.4189283568412]
11,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17573.71125432849;64659.70330061391;-34020.549945257604]
11,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7;4},{3;8;10;9;7;4},[-45333.10666616261;62891.766866371036;-118.1981563178415]
11,7,None,Around Mound,Pup,{8;6;10;9;4},{3;8;6;10;9;4},[-43013.398573726416;63261.695133298635;-2059.849031687714]
11,8,None,Around Mound,Pup,{3;6;10;9;7;4},{3;6;10;9;7;4},[-45753.16200687736;62791.03762070462;-889.2876786295674]
11,9,None,Around Mound,Pup,{3;8;6;10;7;4},{3;8;6;10;7;4},[-44946.01704965532;62939.92982694507;-193.82945901024505]
11,10,None,Around Mound,Pup,{3;8;6;7;9;4},{3;8;6;7;9;4},[-44017.31435292959;63057.76137134433;-1923.4672511303797]
12,0,Dig burrow,Sand Area,Adult,{},{},[-49526.58345526457;62831.55414611101;20060.28942027688]
12,1,Dig burrow,Sand Area,Adult,{},{},[-38206.23505756259;65493.7130086869;19995.496476195753]
12,3,Low sitting/standing (stationary),Around Mound,Adult,{8;6;10;9;4},{8;6;10;9;7;4},[-45272.621853113174;62972.702269889414;1564.5961204732303]
12,4,Groom,Around Mound,Adult,{3;8;6;10;9;7},{3;8;6;10;9;7},[-43107.95120667666;63232.495276249945;-1727.276318475837]
12,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17573.71125432849;64659.70330061391;-34020.549945257604]
12,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7;4},{3;8;10;9;7;4},[-45333.10666616261;62891.766866371036;-118.1981563178415]
12,7,None,Around Mound,Pup,{8;6;10;9;4},{3;8;6;10;9;4},[-43010.68243190646;63263.571124676615;-2141.201118676923]
12,8,None,Around Mound,Pup,{3;6;10;9;7;4},{3;6;10;9;7;4},[-45753.16200687736;62791.03762070462;-889.2876786295674]
12,9,None,Around Mound,Pup,{3;8;6;10;7;4},{3;8;6;10;7;4},[-44946.01704965532;62939.92982694507;-193.82945901024505]
12,10,None,Around Mound,Pup,{3;8;6;7;9;4},{3;8;6;7;9;4},[-44107.19315120578;63040.5255471617;-1926.2205787491985]
13,0,Dig burrow,Sand Area,Adult,{},{},[-49628.38069009781;62820.37832546234;20065.343325853348]
13,1,Dig burrow,Sand Area,Adult,{},{},[-38264.63970332593;65513.10419872403;20362.697264464572]
13,3,Low sitting/standing (stationary),Around Mound,Adult,{8;6;10;9;4},{8;6;10;9;7;4},[-45361.33117413521;62953.770799696445;1560.8527202811092]
13,4,Groom,Around Mound,Adult,{3;8;6;10;9;7},{3;8;6;10;9;7},[-43197.39918846637;63211.782808136195;-1731.385340785957]
13,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17577.982391633093;64686.78876390308;-33942.751889422536]
13,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7;4},{3;8;10;9;7;4},[-45429.85433846712;62878.13452190161;-122.36870143079432]
13,7,None,Around Mound,Pup,{8;6;10;9;4},{3;8;6;10;9;4},[-43092.297436110675;63234.9319316037;-2230.1910496200435]
13,8,None,Around Mound,Pup,{3;6;10;9;7;4},{3;6;10;9;7;4},[-45753.16200687736;62791.03762070462;-889.2876786295674]
13,9,None,Around Mound,Pup,{3;8;6;10;7;4},{3;8;6;10;7;4},[-44946.01704965532;62939.92982694507;-193.82945901024505]
13,10,None,Around Mound,Pup,{3;8;6;7;9;4},{3;8;6;7;9;4},[-44107.19315120578;63040.5255471617;-1926.2205787491985]
14,0,Moving,Sand Area,Adult,{},{},[-55783.985278945416;62253.61836569756;24483.821958117187]
14,2,Dig burrow,Sand Area,Adult,{},{},[-42442.1877220124;64689.44067655504;22775.33469130099]
14,3,Low sitting/standing (stationary),Around Mound,Adult,{10;8;6;9},{8;6;10;9;7;4},[-45370.171943027526;62958.15474825725;1645.9072443562327]
14,4,Groom,Around Mound,Adult,{8;6;10;9;7},{3;8;6;10;9;7},[-43192.959175243974;63209.24715424329;-1815.726835374022]
14,5,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17584.0587836504;64721.54087358713;-33865.74667811394]
14,6,Low sitting/standing (stationary),Around Mound,Adult,{3;8;10;9;7;4},{3;8;10;9;7;4},[-45429.85433846712;62878.13452190161;-122.36870143079432]
