Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
0,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6621.711386707146;25218.142271207646;-12521.866373498924]
0,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17181.955192230642;37852.55078330636;-12262.326467793435]
0,3,Playfight,Sand Area,Adult,{},{},[-81248.65531373024;62413.47269538045;15554.574334561825]
0,4,Moving,Sand Area,Adult,{},{},[-60619.03493651748;69548.12853372097;53586.783106803894]
1,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
1,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6621.711386707146;25218.142271207646;-12521.866373498924]
1,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17259.577025413513;38028.31852340698;-12268.94968032837]
2,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
2,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6621.711386707146;25218.142271207646;-12521.866373498924]
2,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17259.577025413513;38028.31852340698;-12268.94968032837]
3,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
3,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
3,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17259.577025413513;38028.31852340698;-12268.94968032837]
4,5,Moving,Sand Area,Adult,{},{},[-85483.19565427303;66146.8368626833;46559.48582801223]
4,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
4,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
4,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17259.577025413513;38028.31852340698;-12268.94968032837]
5,5,Moving,Right Sticks Area,Adult,{},{},[13685.902894148603;60837.814863123;1052.7193098086864]
5,6,Moving,Around Mound,Adult,{},{},[1899.371419976931;68680.01732928306;4343.152771899942]
5,7,Moving,Left Sticks Area,Adult,{},{},[-40124.26168542355;48037.95340269804;-12879.14529794082]
5,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
5,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
5,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17300.69270297885;38123.50687158108;-12247.801914155483]
6,7,Low sitting/standing (stationary),Left Sticks Area,Adult,{},{},[-43297.14603224397;46744.159653544426;-12307.013250228018]
6,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
6,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
6,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17300.69270297885;38123.50687158108;-12247.801914155483]
7,7,Low sitting/standing (stationary),Left Sticks Area,Adult,{},{},[-43621.25705761835;46533.701655332;-12296.953338254243]
7,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
7,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
7,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17365.245082885027;38145.15994000435;-12259.736201807857]
8,7,Moving,Left Sticks Area,Adult,{},{},[-45856.09215801954;43237.78988069296;-10841.270406119525]
8,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
8,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
8,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17437.797590970993;38186.48891091347;-12226.643068373203]
9,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
9,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
9,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17437.797590970993;38186.48891091347;-12226.643068373203]
10,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
10,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-6643.867483863141;25171.3321170751;-12501.426296547987]
10,2,Low sitting/standing (stationary),Mound,Adult,{},{},[-17437.797590970993;38186.48891091347;-12226.643068373203]
11,0,Sunbathe,Sand Area,Adult,{},{},[42704.72405996919;52080.54253217578;16264.087470959872]
