Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17231.43850505352;64790.91287726164;-33398.275330126286]
0,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24891.254475601017;59845.52022667229;-22230.556885272264]
0,2,High sitting/standing (Vigilant),Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
1,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17231.43850505352;64790.91287726164;-33398.275330126286]
1,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24891.254475601017;59845.52022667229;-22230.556885272264]
1,2,High sitting/standing (Vigilant),Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
2,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17231.43850505352;64790.91287726164;-33398.275330126286]
2,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24891.254475601017;59845.52022667229;-22230.556885272264]
2,2,High sitting/standing (Vigilant),Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
3,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17231.43850505352;64790.91287726164;-33398.275330126286]
3,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24891.254475601017;59845.52022667229;-22230.556885272264]
3,2,High sitting/standing (Vigilant),Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
4,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17231.43850505352;64790.91287726164;-33398.275330126286]
4,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24891.254475601017;59845.52022667229;-22230.556885272264]
4,2,High sitting/standing (Vigilant),Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
5,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
5,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24891.254475601017;59845.52022667229;-22230.556885272264]
5,2,High sitting/standing (Vigilant),Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
6,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
6,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24891.254475601017;59845.52022667229;-22230.556885272264]
6,2,High sitting/standing (Vigilant),Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
7,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
7,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24891.254475601017;59845.52022667229;-22230.556885272264]
7,2,High sitting/standing (Vigilant),Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
8,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
8,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24891.254475601017;59845.52022667229;-22230.556885272264]
8,2,High sitting/standing (Vigilant),Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
9,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
9,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24891.254475601017;59845.52022667229;-22230.556885272264]
9,2,High sitting/standing (Vigilant),Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
10,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
10,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24891.254475601017;59845.52022667229;-22230.556885272264]
10,2,High sitting/standing (Vigilant),Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
11,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
11,1,Raised Guarding (Vigilant),Mound,Adult,{},{2},[-24949.818257613108;59782.861827626824;-22215.786765465513]
11,2,Moving,Mound,Adult,{},{1},[-29551.96965767443;57622.60579687357;-19533.786417096853]
12,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
12,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-24935.13943105191;59763.66077196598;-22047.38727361709]
13,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
13,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-24967.916388511658;59662.78202241659;-21775.701972216368]
13,2,Moving,Around Mound,Adult,{},{},[-43955.57827472687;58625.22385382652;-13647.588085711002]
14,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
14,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-24992.12156335637;59540.88511417806;-21497.24084416963]
14,2,Moving,Left Sticks Area,Adult,{},{},[-52172.29501541704;59050.79184053838;-11645.78542708233]
15,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
15,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25019.417205244303;59433.96281820536;-21143.40346455574]
16,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
16,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-24997.566221296787;59403.81753358245;-20892.774890050292]
17,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
17,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25031.383562028408;59307.702065341175;-20626.815895304084]
18,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
18,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25031.383562028408;59307.702065341175;-20626.815895304084]
19,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
19,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25031.383562028408;59307.702065341175;-20626.815895304084]
20,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
20,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25031.383562028408;59307.702065341175;-20626.815895304084]
21,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
21,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25041.33312287554;59323.861584842205;-20713.93317199126]
22,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
22,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25041.33312287554;59323.861584842205;-20713.93317199126]
23,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
23,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25041.33312287554;59323.861584842205;-20713.93317199126]
24,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
24,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25041.33312287554;59323.861584842205;-20713.93317199126]
25,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
25,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25041.33312287554;59323.861584842205;-20713.93317199126]
26,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
26,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25107.387182191014;59281.43063235283;-20707.55494336784]
27,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17324.71445453167;64808.34543442726;-33415.589425325394]
27,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25107.387182191014;59281.43063235283;-20707.55494336784]
28,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17421.072592496872;64837.17508375645;-33437.19779646397]
28,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25107.387182191014;59281.43063235283;-20707.55494336784]
29,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17421.072592496872;64837.17508375645;-33437.19779646397]
29,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25107.387182191014;59281.43063235283;-20707.55494336784]
30,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17421.072592496872;64837.17508375645;-33437.19779646397]
30,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25107.387182191014;59281.43063235283;-20707.55494336784]
31,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17421.072592496872;64837.17508375645;-33437.19779646397]
31,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25107.387182191014;59281.43063235283;-20707.55494336784]
32,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17421.072592496872;64837.17508375645;-33437.19779646397]
32,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25107.387182191014;59281.43063235283;-20707.55494336784]
33,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17421.072592496872;64837.17508375645;-33437.19779646397]
33,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25107.387182191014;59281.43063235283;-20707.55494336784]
34,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17421.072592496872;64837.17508375645;-33437.19779646397]
34,1,Raised Guarding (Vigilant),Mound,Adult,{},{},[-25107.387182191014;59281.43063235283;-20707.55494336784]
35,0,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17421.072592496872;64837.17508375645;-33437.19779646397]
