Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,Foraging,Foraging,Adult,{1},{3;1;4;2},[111.81613998301327;27530.738668307662;-9316.086211711168]
0,1,Foraging,Foraging,Adult,{0;3;2},{0;3;4;2},[1296.3192473892123;27476.253077730536;-9527.328237317502]
0,2,Foraging,Foraging,Adult,{3;1;4},{0;1;3;4},[4531.058134805411;27467.746393740177;-10217.293141622096]
0,3,Foraging,Foraging,Adult,{1;4;2},{0;1;4;2},[4941.293575396761;26389.359765700996;-10695.79593968764]
0,4,Foraging,Foraging,Adult,{3;2},{0;1;3;2},[4751.200268600136;25157.501655623317;-11104.845003716648]
1,0,Foraging,Foraging,Adult,{1},{3;1;4},[-97.53116237399081;27434.894679659978;-9292.491146499291]
1,1,Foraging,Foraging,Adult,{0;3},{0;3;4},[1589.3758545611054;27878.950198620558;-9446.352562591434]
1,3,Foraging,Foraging,Adult,{1;4},{0;1;4},[4671.227525300346;26515.264269117266;-10590.138232797384]
1,4,Foraging,Foraging,Adult,{3},{0;1;3},[4763.015425153077;25202.734359413385;-11089.517873242497]
2,0,Foraging,Foraging,Adult,{1},{3;1;4},[-101.97916996383356;27379.734818167984;-9309.945720370859]
2,1,Foraging,Foraging,Adult,{0;3},{0;3;4},[1735.3574976667296;27932.004192713648;-9448.425880111754]
2,3,Foraging,Foraging,Adult,{1;4},{0;1;4},[4595.311700659804;26610.951934035867;-10541.35196640715]
2,4,Foraging,Foraging,Adult,{3},{0;1;3},[4776.895969904959;25256.972556084394;-11078.325414404273]
3,0,Foraging,Foraging,Adult,{1},{3;1;4},[-101.97916996383356;27379.734818167984;-9309.945720370859]
3,1,Foraging,Foraging,Adult,{0;3},{0;3;4},[1805.8863585665822;27929.018422722816;-9456.432055830956]
3,3,Foraging,Foraging,Adult,{1;4},{0;1;4},[4479.573642309755;26548.634347848594;-10536.119305334985]
3,4,Foraging,Foraging,Adult,{3},{0;1;3},[4756.989025712013;25302.942352212965;-11058.507691275328]
4,0,Foraging,Foraging,Adult,{1},{3;1;4},[-101.97916996383356;27379.734818167984;-9309.945720370859]
4,1,Foraging,Foraging,Adult,{0;3},{0;3;4},[1873.7962109167129;27930.953378349543;-9467.22343845293]
4,3,Foraging,Foraging,Adult,{1;4},{0;1;4},[3964.771112235496;26034.191709596664;-10582.49685266614]
4,4,Foraging,Foraging,Adult,{3},{0;1;3},[4734.16674786713;25335.39843262732;-11033.88215214666]
5,0,Foraging,Foraging,Adult,{1},{3;1;4},[-174.50381700485013;27326.2373611331;-9317.640073671937]
5,1,Foraging,Foraging,Adult,{0;3},{0;3;4},[1943.422414785251;27935.23486740887;-9477.632330268621]
5,3,Foraging,Foraging,Adult,{1;4},{0;1;4},[4030.819208093453;26036.05969017744;-10594.3673198428]
5,4,Foraging,Foraging,Adult,{3},{0;1;3},[4745.440220623277;25378.21585052833;-11017.796617561951]
6,0,Foraging,Foraging,Adult,{1},{1;4},[-174.50381700485013;27326.2373611331;-9317.640073671937]
6,1,Foraging,Foraging,Adult,{0},{0;4},[1961.7696155668236;28049.51420655474;-9444.051494959742]
6,4,Foraging,Foraging,Adult,{},{0;1},[4757.357531819958;25422.156513119116;-11002.063575784676]
7,0,Foraging,Foraging,Adult,{1},{1;4},[-174.50381700485013;27326.2373611331;-9317.640073671937]
7,1,Foraging,Foraging,Adult,{0},{0;4},[2004.5285353090148;28101.66797450185;-9430.46349139139]
7,4,Foraging,Foraging,Adult,{},{0;1},[4771.4632529988885;25480.21613791585;-10991.744218930602]
8,0,Foraging,Foraging,Adult,{1},{3;1;4},[-178.903491585952;27278.049698613584;-9337.806452436373]
8,1,Foraging,Foraging,Adult,{0;3;4},{0;3;4},[2109.2242449638434;28108.779552925378;-9446.243813075125]
8,3,Foraging,Foraging,Adult,{1;4},{0;1;4},[3920.00250056386;26269.542766213417;-10487.104567587376]
8,4,Foraging,Foraging,Adult,{3;1},{0;1;3},[4749.419362688437;25518.104282557964;-10968.291715703905]
9,0,Foraging,Foraging,Adult,{1},{3;1;4},[-212.99808298623248;27286.076135508716;-9335.403474888764]
9,1,Foraging,Foraging,Adult,{0;3;4},{0;3;4},[2187.871257564053;28168.856182217598;-9441.011093705893]
9,3,Foraging,Foraging,Adult,{1;4},{0;1;4},[3920.00250056386;26269.542766213417;-10487.104567587376]
9,4,Foraging,Foraging,Adult,{3;1},{0;1;3},[4760.879739979282;25561.710070811212;-10952.041367013007]
10,5,Foraging,Foraging,Adult,{0;1;3;4},{0;1;3;4},[1411.1514931344427;26563.23779612221;-9834.345896999352]
10,0,Foraging,Foraging,Adult,{5;1},{3;5;1;4},[-247.45555248890014;27278.86400259286;-9328.482545861043]
10,1,Foraging,Foraging,Adult,{0;5;3;4},{0;5;3;4},[2222.4675954775885;28173.000255789608;-9446.82560400851]
10,3,Foraging,Foraging,Adult,{5;1;4},{0;5;1;4},[3781.1115847937763;26233.71360221505;-10451.824754685163]
10,4,Foraging,Foraging,Adult,{3;5;1},{0;5;3;1},[4772.255523552652;25605.306302344427;-10935.668824472465]
11,5,Interacting with foreign object,Foraging,Adult,{0;1;3;4},{0;1;3;4},[1358.0728790422436;26664.138242507353;-9792.668689695187]
11,0,Foraging,Foraging,Adult,{5;1},{3;5;1;4},[-280.56093204105855;27271.317403059453;-9321.537555675954]
11,1,Foraging,Foraging,Adult,{0;5;3;4},{0;5;3;4},[2197.3002794636413;28228.637686491013;-9423.967081777751]
11,3,Foraging,Foraging,Adult,{5;1;4},{0;5;1;4},[3544.7004314865917;26196.494611233473;-10400.980103634298]
11,4,Foraging,Foraging,Adult,{3;5;1},{0;5;3;1},[4772.255523552652;25605.306302344427;-10935.668824472465]
12,6,Foraging,Foraging,Adult,{3;1;4},{0;3;5;1;4},[5310.555029965937;28067.302691414952;-10132.748562119901]
12,5,Interacting with foreign object,Foraging,Adult,{0;1;3;4},{0;3;6;1;4},[1358.0728790422436;26664.138242507353;-9792.668689695187]
12,0,Foraging,Foraging,Adult,{5;1},{3;5;6;1;4},[-382.2537047883379;27233.224535033107;-9295.508483558893]
12,1,Foraging,Foraging,Adult,{0;3;5;6;4},{0;3;5;6;4},[2206.545912743546;28288.098556756973;-9408.039675332606]
12,3,Foraging,Foraging,Adult,{5;6;1;4},{0;5;6;1;4},[3343.787637913134;25704.44328049384;-10534.763347693719]
12,4,Foraging,Foraging,Adult,{3;5;6;1},{0;3;5;6;1},[4751.204694584012;25648.96566028893;-10915.013442002237]
13,6,Interacting with foreign object,Foraging,Adult,{3;1;4},{0;3;5;1;4},[5134.641373293474;28204.614225640893;-10038.057371847332]
13,5,Interacting with foreign object,Foraging,Adult,{0;1;3;4},{0;3;6;1;4},[1317.1783511340618;26608.149457216263;-9803.006304383278]
13,0,Foraging,Foraging,Adult,{5;1},{3;5;6;1;4},[-449.89125110732857;27226.00060850382;-9285.633930385113]
13,1,Foraging,Foraging,Adult,{0;5;6;3},{0;3;5;6;4},[2224.029941781424;28408.733718417585;-9373.269713308662]
13,3,Foraging,Foraging,Adult,{5;6;1;4},{0;5;6;1;4},[2869.930410093628;25236.13040611893;-10558.213096458465]
13,4,Foraging,Foraging,Adult,{3;5;6},{0;3;5;6;1},[4751.204694584012;25648.96566028893;-10915.013442002237]
14,6,Interacting with foreign object,Foraging,Adult,{3;1;4},{0;3;5;1;4},[5134.641373293474;28204.614225640893;-10038.057371847332]
14,5,Interacting with foreign object,Foraging,Adult,{0;1;3;4},{0;3;6;1;4},[1144.756052969955;26557.604442447424;-9795.643577653915]
14,0,Foraging,Foraging,Adult,{5;1},{3;5;6;1;4},[-516.1194506408647;27225.042749159038;-9276.748822253197]
14,1,Foraging,Foraging,Adult,{0;5;6;3},{0;3;5;6;4},[2198.4685366386548;28462.39045503363;-9349.10756974481]
