Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,0,High sitting/standing (Vigilant),Foraging,Adult,{},{},[23959.11863231659;39664.0886689499;-23894.112931061536]
1,0,High sitting/standing (Vigilant),Foraging,Adult,{},{},[23959.11863231659;39664.0886689499;-23894.112931061536]
2,1,Low sitting/standing (stationary),Background,Adult,{},{},[34311.44128417969;38522.88300448656;-22190.562279075384]
2,0,High sitting/standing (Vigilant),Foraging,Adult,{},{},[23949.698952484876;39649.51645370573;-23946.140739247203]
3,1,Low sitting/standing (stationary),Background,Adult,{},{},[34637.75526333228;38484.20611439645;-22075.066021617502]
3,0,High sitting/standing (Vigilant),Foraging,Adult,{},{},[23949.698952484876;39649.51645370573;-23946.140739247203]
4,1,Low sitting/standing (stationary),Background,Adult,{},{},[34993.19550815225;38477.118477705866;-21918.796301081777]
4,0,High sitting/standing (Vigilant),Foraging,Adult,{},{},[23949.698952484876;39649.51645370573;-23946.140739247203]
5,1,Moving,Background,Adult,{},{},[36676.71706405282;38383.715959995985;-21577.10569471121]
5,0,High sitting/standing (Vigilant),Foraging,Adult,{},{},[23949.698952484876;39649.51645370573;-23946.140739247203]
6,1,Moving,Background,Adult,{},{},[38506.786994189024;38166.322889864445;-22022.07268807292]
6,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24606.168829120696;39377.79985678941;-23997.952065121382]
6,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23949.698952484876;39649.51645370573;-23946.140739247203]
7,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24615.428245995194;39390.168851435184;-23942.729976974428]
7,3,Moving,Background,Adult,{},{},[58228.418088469654;39121.09390480071;-18878.65479114279]
7,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23949.698952484876;39649.51645370573;-23946.140739247203]
8,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24615.428245995194;39390.168851435184;-23942.729976974428]
8,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23936.01450193301;39627.35929430276;-23995.4540149197]
9,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24615.428245995194;39390.168851435184;-23942.729976974428]
9,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23936.01450193301;39627.35929430276;-23995.4540149197]
10,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24615.428245995194;39390.168851435184;-23942.729976974428]
10,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23936.01450193301;39627.35929430276;-23995.4540149197]
11,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24615.428245995194;39390.168851435184;-23942.729976974428]
11,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23936.01450193301;39627.35929430276;-23995.4540149197]
12,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24615.428245995194;39390.168851435184;-23942.729976974428]
12,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23936.01450193301;39627.35929430276;-23995.4540149197]
13,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24615.428245995194;39390.168851435184;-23942.729976974428]
13,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23921.1286136508;39600.67961591482;-24042.21237105131]
14,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24615.428245995194;39390.168851435184;-23942.729976974428]
14,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23921.1286136508;39600.67961591482;-24042.21237105131]
15,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24615.428245995194;39390.168851435184;-23942.729976974428]
15,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23921.1286136508;39600.67961591482;-24042.21237105131]
16,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24615.428245995194;39390.168851435184;-23942.729976974428]
16,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23921.1286136508;39600.67961591482;-24042.21237105131]
17,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24615.428245995194;39390.168851435184;-23942.729976974428]
17,4,Moving,Background,Adult,{},{},[56062.66371823475;39023.136937420815;-20187.105620913208]
17,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23921.1286136508;39600.67961591482;-24042.21237105131]
18,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24624.814318833873;39407.39657726511;-23889.050767796114]
18,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23921.1286136508;39600.67961591482;-24042.21237105131]
19,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24624.814318833873;39407.39657726511;-23889.050767796114]
19,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23909.61431801319;39581.7955378592;-24093.377069413662]
20,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24624.814318833873;39407.39657726511;-23889.050767796114]
20,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23909.61431801319;39581.7955378592;-24093.377069413662]
21,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24796.913780961186;39377.746158748865;-23860.379766620696]
21,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23909.61431801319;39581.7955378592;-24093.377069413662]
22,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0},[24923.070776160806;39376.08292194456;-23768.334165131673]
22,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2},[23999.25462400168;39522.74885599315;-24091.097640648484]
23,2,Moving,Background,Adult,{},{0},[30095.177695080638;39151.869843393564;-21999.2552870512]
23,0,High sitting/standing (Vigilant),Foraging,Adult,{},{2},[24069.821070298553;39535.12828049064;-23987.8612671867]
24,2,Moving,Background,Adult,{},{},[37597.58648540825;38242.617402784526;-21946.39832342975]
24,0,High sitting/standing (Vigilant),Foraging,Adult,{},{},[24134.090009439737;39536.104028224945;-23943.106653140858]
25,2,Low sitting/standing (stationary),Background,Adult,{},{},[38211.96215137839;38330.87677283585;-21755.99059662223]
25,0,Low sitting/standing (stationary),Foraging,Adult,{},{},[24090.037143871188;39568.3268699944;-23946.718770965934]
26,2,Low sitting/standing (stationary),Background,Adult,{},{},[38211.96215137839;38330.87677283585;-21755.99059662223]
26,0,Low sitting/standing (stationary),Foraging,Adult,{},{},[24069.821070298553;39535.12828049064;-23987.8612671867]
27,2,Low sitting/standing (stationary),Background,Adult,{},{},[38211.96215137839;38330.87677283585;-21755.99059662223]
27,0,Low sitting/standing (stationary),Foraging,Adult,{},{},[24115.35402086377;39503.60965406895;-23987.3718855083]
28,2,Low sitting/standing (stationary),Background,Adult,{},{},[38211.96215137839;38330.87677283585;-21755.99059662223]
28,0,Low sitting/standing (stationary),Foraging,Adult,{},{},[24164.066539384425;39479.42634064704;-23989.238045265898]
29,2,Low sitting/standing (stationary),Background,Adult,{},{},[38211.96215137839;38330.87677283585;-21755.99059662223]
29,0,Low sitting/standing (stationary),Foraging,Adult,{},{},[24214.2280652076;39458.964589215815;-23992.783116612583]
30,2,Low sitting/standing (stationary),Background,Adult,{},{},[38275.8685413003;38318.99640874565;-21768.99580644071]
30,0,Moving,Foraging,Adult,{},{},[24346.983618609607;39471.44242322445;-23908.838699407876]
31,2,Low sitting/standing (stationary),Background,Adult,{},{},[38397.597324579954;38287.07917332649;-21787.335265934467]
32,2,Low sitting/standing (stationary),Background,Adult,{},{},[38652.296695649624;38237.21655988693;-21835.619804382324]
32,0,Low sitting/standing (stationary),Foraging,Adult,{},{},[24314.756716251373;39520.070670604706;-23858.783378362656]
33,2,Low sitting/standing (stationary),Background,Adult,{},{},[38523.70219993591;38260.109763622284;-21809.64656150341]
33,0,Low sitting/standing (stationary),Foraging,Adult,{},{},[24429.47356687486;39503.56344246864;-23818.929692789912]
34,2,Moving,Background,Adult,{},{},[37973.53363388777;38320.49173873663;-21755.753606766462]
34,0,Low sitting/standing (stationary),Foraging,Adult,{},{},[24471.205011710525;39466.9344727546;-23875.382831521332]
35,2,Low sitting/standing (stationary),Background,Adult,{},{},[37374.997044980526;38326.09856387973;-21731.57211562991]
