Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
0,1,Interact with pup,Sand Area,Adult,{5},{5;4;7},[-36240.176078379154;65443.658485651016;13659.380518749356]
0,4,Moving,Sand Area,Adult,{7},{5;1;7},[-29224.14118333161;68173.9273443222;15885.541955742985]
0,5,None,Sand Area,Pup,{1;7},{1;4;7},[-33338.68944737315;66546.61232507229;15145.479696597904]
0,6,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17700.958977105096;65003.20140745118;-32705.13948477246]
0,7,None,Sand Area,Pup,{5;4},{5;1;4},[-32567.68304831721;66828.43503259122;14842.99934956897]
1,1,Interact with pup,Sand Area,Adult,{5;7},{3;5;7;2},[-36062.99356517196;65541.9598582983;14281.845205418766]
1,2,Low sitting/standing (stationary),Sand Area,Adult,{},{3;5;7;1;4},[-32675.969095490873;66200.30673157424;9717.947342590429]
1,3,Interact with pup,Sand Area,Adult,{5;7},{5;2;7;1;4},[-30586.27847467363;67477.18062496185;14162.674210950732]
1,4,Moving,Sand Area,Adult,{},{3;7;2},[-27035.405140893534;68150.93450886011;10100.727653175592]
1,5,None,Sand Area,Pup,{3;1;7},{3;1;7;2},[-34035.81182837486;66337.30932036042;15374.771160941571]
1,6,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17700.958977105096;65003.20140745118;-32705.13948477246]
1,7,None,Sand Area,Pup,{3;1;5},{3;5;2;1;4},[-32998.48627477884;66681.3745066449;14992.944628080353]
2,1,Interact with pup,Sand Area,Adult,{5;7},{3;5;7;2},[-35933.41608195752;65483.56570261717;13312.290613001212]
2,2,Low sitting/standing (stationary),Sand Area,Adult,{},{3;1;5;7},[-32761.463390760124;66180.71158865094;9713.909981828183]
2,3,Interact with pup,Sand Area,Adult,{7},{5;1;7;2},[-30443.83155722916;67621.74806711078;15071.148565877229]
2,4,Low sitting/standing (stationary),Sand Area,Adult,{},{},[-24151.276364929974;68962.4979441464;9723.825621142983]
2,5,None,Sand Area,Pup,{1;7},{3;1;7;2},[-35295.68050575256;65885.53802347183;15561.845480382442]
2,6,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17700.958977105096;65003.20140745118;-32705.13948477246]
2,7,None,Sand Area,Pup,{3;1;5},{3;1;5;2},[-33409.57735282183;66515.43877252936;15050.877051007003]
3,1,Interact with pup,Sand Area,Adult,{5;7},{5;7;2},[-36133.21469192207;65407.52335882187;12785.949629548937]
3,2,Low sitting/standing (stationary),Sand Area,Adult,{},{5;1;7},[-32846.852803017944;66158.99098504335;9710.57423155941]
3,4,Moving,Sand Area,Adult,{},{5;7},[-28444.91666644998;68531.75013718754;16226.500083077699]
3,5,None,Sand Area,Pup,{1;7},{1;7;4;2},[-34805.222983539104;65941.83577522635;14341.531222499907]
3,6,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17700.958977105096;65003.20140745118;-32705.13948477246]
3,7,None,Sand Area,Pup,{5;1},{5;1;4;2},[-33762.94700586796;66424.77188694477;15125.164028346539]
4,0,Dig burrow,Sand Area,Adult,{},{},[-43041.71810102463;64300.705080509186;20684.53592133522]
4,1,Interact with pup,Sand Area,Adult,{5;7},{5;7;2},[-35950.016926288605;65448.39975810051;12703.23034735024]
4,2,Low sitting/standing (stationary),Sand Area,Adult,{},{5;1;7},[-33114.996189534664;66094.45331919193;9873.83083589375]
4,4,Interact with pup,Sand Area,Adult,{},{5;7},[-29129.462573692203;68262.9396429956;16529.17248262465]
4,5,None,Sand Area,Pup,{1;7},{1;7;4;2},[-34970.79394997656;65882.23880669475;14331.522599414922]
4,6,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17700.958977105096;65003.20140745118;-32705.13948477246]
4,7,None,Sand Area,Pup,{5;1},{5;1;4;2},[-34180.033509492874;66274.38305711746;15188.953328847885]
5,0,Moving,Sand Area,Adult,{},{5;7},[-39711.159859880805;65144.46257340908;20588.031185135245]
5,2,Low sitting/standing (stationary),Sand Area,Adult,{},{5;4;7},[-32645.774730587378;66247.4468216598;10237.74793798849]
5,4,Interact with pup,Sand Area,Adult,{},{5;7;2},[-30425.51436251402;67717.08650064468;16421.754910826683]
5,5,None,Sand Area,Pup,{7},{0;7;4;2},[-35135.547786176205;65827.42974089086;14326.050109943375]
5,6,Raised Guarding (Vigilant),Mound,Adult,{},{},[-17700.958977105096;65003.20140745118;-32705.13948477246]
5,7,None,Sand Area,Pup,{5},{0;5;4;2},[-34591.84474945068;66105.80569267273;15247.501826047897]
6,0,Moving,Sand Area,Adult,{},{5;4;7},[-34848.03071624413;66595.99406762421;20542.82032914646]
6,2,Low sitting/standing (stationary),Sand Area,Adult,{},{5;4;7},[-31695.640733152628;66527.35210829973;9849.198435217142]
6,4,Interact with pup,Sand Area,Adult,{5;7},{0;5;7;2},[-31773.29989325255;67132.63206745684;15159.930126501247]
