Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,1,Interact with pup,Sand Area,Adult,{5},{4;5;7}
0,4,Moving,Sand Area,Adult,{7},{1;5;7}
0,5,None,Sand Area,Pup,{1;7},{1;7;4}
0,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
0,7,None,Sand Area,Pup,{4;5},{1;5;4}
1,1,Interact with pup,Sand Area,Adult,{7;5},{3;7;5;2}
1,2,Low sitting/standing (stationary),Sand Area,Adult,{},{1;4;5;3;7}
1,3,Interact with pup,Sand Area,Adult,{7;5},{4;1;5;7;2}
1,4,Moving,Sand Area,Adult,{},{3;7;2}
1,5,None,Sand Area,Pup,{3;1;7},{3;1;7;2}
1,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
1,7,None,Sand Area,Pup,{3;1;5},{1;4;5;3;2}
2,1,Interact with pup,Sand Area,Adult,{7;5},{3;7;5;2}
2,2,Low sitting/standing (stationary),Sand Area,Adult,{},{3;1;5;7}
2,3,Interact with pup,Sand Area,Adult,{7},{1;5;7;2}
2,4,Low sitting/standing (stationary),Sand Area,Adult,{},{}
2,5,None,Sand Area,Pup,{1;7},{3;1;7;2}
2,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
2,7,None,Sand Area,Pup,{3;1;5},{3;1;5;2}
3,1,Interact with pup,Sand Area,Adult,{7;5},{7;5;2}
3,2,Low sitting/standing (stationary),Sand Area,Adult,{},{1;5;7}
3,4,Moving,Sand Area,Adult,{},{7;5}
3,5,None,Sand Area,Pup,{1;7},{4;1;7;2}
3,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
3,7,None,Sand Area,Pup,{1;5},{4;1;5;2}
4,0,Dig burrow,Sand Area,Adult,{},{}
4,1,Interact with pup,Sand Area,Adult,{7;5},{7;5;2}
4,2,Low sitting/standing (stationary),Sand Area,Adult,{},{1;5;7}
4,4,Interact with pup,Sand Area,Adult,{},{7;5}
4,5,None,Sand Area,Pup,{1;7},{4;1;7;2}
4,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
4,7,None,Sand Area,Pup,{1;5},{4;1;5;2}
5,0,Moving,Sand Area,Adult,{},{7;5}
5,2,Low sitting/standing (stationary),Sand Area,Adult,{},{4;5;7}
5,4,Interact with pup,Sand Area,Adult,{},{7;5;2}
5,5,None,Sand Area,Pup,{7},{4;0;7;2}
5,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
5,7,None,Sand Area,Pup,{5},{5;4;0;2}
6,0,Moving,Sand Area,Adult,{},{4;5;7}
6,2,Low sitting/standing (stationary),Sand Area,Adult,{},{4;5;7}
6,4,Interact with pup,Sand Area,Adult,{7;5},{5;7;0;2}
6,5,None,Sand Area,Pup,{4;7},{4;0;7;2}
6,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
6,7,None,Sand Area,Pup,{4;5},{5;4;0;2}
7,0,Moving,Sand Area,Adult,{},{4;5;7}
7,2,High sitting/standing (Vigilant),Sand Area,Adult,{},{4;5;7}
7,4,Interact with pup,Sand Area,Adult,{7;5},{5;7;0;2}
7,5,None,Sand Area,Pup,{4;7},{4;0;7;2}
7,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
7,7,None,Sand Area,Pup,{4;5},{5;4;0;2}
8,0,Moving,Sand Area,Adult,{3},{3;1;2}
8,1,Interact with pup,Sand Area,Adult,{5;2},{4;7;5;3;0;2}
8,2,High sitting/standing (Vigilant),Sand Area,Adult,{1},{1;4;5;7;3;0}
8,3,Interact with pup,Sand Area,Adult,{0},{4;1;5;7;0;2}
8,4,Moving,Sand Area,Adult,{7;5},{1;5;3;7;2}
8,5,None,Sand Area,Pup,{1;7;4},{1;4;3;7;2}
8,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
8,7,None,Sand Area,Pup,{4;5},{1;4;5;3;2}
9,1,Carry pup,Sand Area,Adult,{5},{4;5;3;7;2}
9,2,High sitting/standing (Vigilant),Sand Area,Adult,{},{3;1;7}
9,3,Interact with pup,Sand Area,Adult,{7},{1;5;7;2}
9,4,Dig burrow,Sand Area,Adult,{5},{1;5;7}
9,5,None,Sand Area,Pup,{1;4},{3;1;7;4}
9,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
9,7,None,Sand Area,Pup,{3},{1;4;5;3;2}
10,1,Carry pup,Sand Area,Adult,{},{7;5}
10,2,Low sitting/standing (stationary),Sand Area,Adult,{},{3;7}
10,3,Moving,Sand Area,Adult,{7},{7;2}
10,5,None,Sand Area,Pup,{},{1}
10,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
10,7,None,Sand Area,Pup,{3},{3;1;2}
11,0,Interact with pup,Sand Area,Adult,{7;2},{7;2}
11,1,Carry pup,Sand Area,Adult,{},{4}
11,2,Dig burrow,Sand Area,Adult,{0},{7;0}
11,3,Moving,Sand Area,Adult,{},{4;7}
11,4,Moving,Sand Area,Adult,{},{3;1}
11,5,None,Sand Area,Pup,{},{}
11,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
11,7,None,Sand Area,Pup,{0},{3;0;2}
12,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{3;7;2}
12,1,Carry pup,Sand Area,Adult,{},{4;5}
12,2,Interact with pup,Sand Area,Adult,{7},{7;0}
12,3,Moving,Sand Area,Adult,{},{7;0}
12,4,Moving,Sand Area,Adult,{},{1;5}
12,5,None,Sand Area,Pup,{},{1;4}
12,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
12,7,None,Sand Area,Pup,{2},{3;0;2}
13,10,Low sitting/standing (stationary),Sand Area,Adult,{},{}
13,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{7;2}
13,1,Carry pup,Sand Area,Adult,{},{4;5}
13,2,Interact with pup,Sand Area,Adult,{7},{3;7;0}
13,3,Moving,Sand Area,Adult,{},{7;2}
13,4,Moving,Sand Area,Adult,{5},{1;5}
13,5,None,Sand Area,Pup,{4},{1;4}
13,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
13,7,None,Sand Area,Pup,{2},{3;0;2}
14,10,Moving,Sand Area,Adult,{},{1;5}
14,0,High sitting/standing (Vigilant),Sand Area,Adult,{2},{7;2}
14,1,Carry pup,Sand Area,Adult,{5},{4;10;5}
14,2,Moving,Sand Area,Adult,{7;0},{3;7;0}
14,3,Moving,Sand Area,Adult,{},{7;2}
14,4,Moving,Sand Area,Adult,{5},{1;5}
14,5,None,Sand Area,Pup,{1;4},{1;10;4}
14,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
14,7,None,Sand Area,Pup,{2},{3;0;2}
15,10,Moving,Left Sticks Area,Adult,{},{}
15,0,High sitting/standing (Vigilant),Sand Area,Adult,{},{3;7}
15,1,Carry pup,Sand Area,Adult,{},{4;5}
15,2,Moving,Sand Area,Adult,{},{}
15,3,Interact with pup,Sand Area,Adult,{7},{7;0}
15,4,Low sitting/standing (stationary),Sand Area,Adult,{5},{1;5}
15,5,None,Sand Area,Pup,{4},{1;4}
15,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
15,7,None,Sand Area,Pup,{3},{3;0}
16,10,Moving,Left Sticks Area,Adult,{},{}
16,0,Interact with pup,Sand Area,Adult,{},{3;7}
16,1,Carry pup,Sand Area,Adult,{},{4;5}
16,2,Low sitting/standing (stationary),Around Mound,Adult,{},{}
16,3,Moving,Sand Area,Adult,{7},{7;0}
16,4,Low sitting/standing (stationary),Sand Area,Adult,{5},{1;5}
16,5,None,Sand Area,Pup,{4},{1;4}
16,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
16,7,None,Sand Area,Pup,{3},{3;0}
17,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
17,0,Dig burrow,Sand Area,Adult,{},{7}
17,1,Carry pup,Sand Area,Adult,{},{4;5}
17,2,Moving,Around Mound,Adult,{},{4}
17,3,Moving,Sand Area,Adult,{},{7}
17,4,Moving,Sand Area,Adult,{5},{1;5;2}
17,5,None,Sand Area,Pup,{4},{1;4}
17,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
17,7,None,Sand Area,Pup,{},{3;0}
18,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
18,0,Interact with pup,Sand Area,Adult,{7},{7}
18,1,Carry pup,Sand Area,Adult,{},{3;4;5}
18,2,Moving,Around Mound,Adult,{4},{3;4;5}
18,3,Moving,Sand Area,Adult,{},{4;1;5;2}
18,4,Low sitting/standing (stationary),Sand Area,Adult,{5;2},{3;1;5;2}
18,5,None,Sand Area,Pup,{4},{3;1;4;2}
18,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
18,7,None,Sand Area,Pup,{0},{0}
19,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
19,0,Interact with pup,Sand Area,Adult,{7},{7}
19,2,Interact with pup,Around Mound,Adult,{5},{4;5}
19,3,Moving,Sand Area,Adult,{},{4;5}
19,4,Moving,Sand Area,Adult,{},{3;2}
19,5,None,Sand Area,Pup,{2},{3;2}
19,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
19,7,None,Sand Area,Pup,{0},{0}
20,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
20,0,Interact with pup,Sand Area,Adult,{},{7}
20,1,Carry pup,Sand Area,Adult,{2},{5;2}
20,2,Moving,Sand Area,Adult,{1},{1;5}
20,3,Dig burrow,Sand Area,Adult,{},{4}
20,4,Dig burrow,Sand Area,Adult,{},{3}
20,5,None,Around Mound,Pup,{},{1;2}
20,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
20,7,None,Sand Area,Pup,{},{0}
21,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
21,0,Interact with pup,Sand Area,Adult,{7},{7;2}
21,1,Interact with pup,Sand Area,Adult,{5},{5}
21,2,Moving,Sand Area,Adult,{7},{4;0;7}
21,3,Dig burrow,Sand Area,Adult,{},{4}
21,4,Moving,Sand Area,Adult,{},{3;7;2}
21,5,None,Around Mound,Pup,{1},{1}
21,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
21,7,None,Sand Area,Pup,{0;2},{4;0;2}
22,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
22,0,Dig burrow,Sand Area,Adult,{},{7;2}
22,1,Interact with pup,Sand Area,Adult,{5},{5}
22,2,Interact with pup,Sand Area,Adult,{7},{4;0;7}
22,3,Dig burrow,Sand Area,Adult,{},{}
22,4,Low sitting/standing (stationary),Sand Area,Adult,{},{7;2}
22,5,None,Around Mound,Pup,{1},{1}
22,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
22,7,None,Sand Area,Pup,{2},{4;0;2}
23,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
23,0,Dig burrow,Sand Area,Adult,{},{7;2}
23,1,Carry pup,Sand Area,Adult,{5},{5}
23,2,Interact with pup,Sand Area,Adult,{7},{4;0;7}
23,3,Interact with pup,Sand Area,Adult,{},{4;7}
23,4,High sitting/standing (Vigilant),Sand Area,Adult,{},{3;7;2}
23,5,None,Around Mound,Pup,{1},{1}
23,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
23,7,None,Sand Area,Pup,{2},{3;4;0;2}
24,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
24,0,Interact with pup,Sand Area,Adult,{7},{7;2}
24,1,Carry pup,Around Mound,Adult,{5},{5}
24,2,Moving,Sand Area,Adult,{7},{4;0;7}
24,3,Interact with pup,Sand Area,Adult,{},{4;7}
24,4,Low sitting/standing (stationary),Sand Area,Adult,{},{3;7;2}
24,5,None,Around Mound,Pup,{1},{1}
24,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
24,7,None,Sand Area,Pup,{0;2},{3;4;0;2}
25,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
25,0,High sitting/standing (Vigilant),Sand Area,Adult,{7},{7;2}
25,1,Carry pup,Sand Area,Adult,{5},{5}
25,2,Moving,Sand Area,Adult,{},{3;4;0;7}
25,3,Interact with pup,Sand Area,Adult,{},{4;7;2}
25,4,Moving,Sand Area,Adult,{},{3;2}
25,5,None,Sand Area,Pup,{1},{1}
25,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
25,7,None,Sand Area,Pup,{0},{3;0;2}
26,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
26,0,High sitting/standing (Vigilant),Sand Area,Adult,{7},{3;7}
26,1,Carry pup,Sand Area,Adult,{5},{5}
26,3,Moving,Sand Area,Adult,{},{4;0;7}
26,4,Dig burrow,Sand Area,Adult,{},{3}
26,5,None,Sand Area,Pup,{1},{1}
26,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
26,7,None,Sand Area,Pup,{0},{3;0}
27,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
27,0,Low sitting/standing (stationary),Sand Area,Adult,{7},{3;1;5;7}
27,1,Carry pup,Sand Area,Adult,{5},{5;0}
27,3,Moving,Sand Area,Adult,{7},{5;7;0}
27,5,None,Sand Area,Pup,{1},{3;1;0;7}
27,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
27,7,None,Sand Area,Pup,{3;0},{3;0;5}
28,10,High sitting/standing (Vigilant),Left Sticks Area,Adult,{},{}
28,3,Moving,Sand Area,Adult,{5},{7;5}
28,5,None,Sand Area,Pup,{3},{3;7}
28,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
28,7,None,Sand Area,Pup,{},{3;5}
29,10,Moving,Left Sticks Area,Adult,{},{}
29,1,Interact with pup,Sand Area,Adult,{7;2},{7;5;2}
29,2,Dig burrow,Sand Area,Adult,{1;7},{1;5;7}
29,3,Moving,Sand Area,Adult,{},{5}
29,5,None,Sand Area,Pup,{},{3;1;7;2}
29,6,Raised Guarding (Vigilant),Mound,Adult,{},{}
29,7,None,Sand Area,Pup,{1;2},{1;5;2}
30,10,Low sitting/standing (stationary),Left Sticks Area,Adult,{},{}
30,1,Interact with pup,Sand Area,Adult,{7},{3;7;5;2}
30,2,Dig burrow,Sand Area,Adult,{7},{3;1;5;7}
30,3,Moving,Sand Area,Adult,{5},{1;5;7;2}
