Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,0,Low sitting/standing (stationary),Waiting Area,Adult,{},{3;1;7}
0,1,Foraging,Waiting Area,Adult,{3;2},{3;7;0;2}
0,2,Foraging,Foraging,Adult,{3;1},{3;1;7}
0,3,Foraging,Foraging,Adult,{1;2},{1;0;7;2}
0,7,Foraging,Foraging,Adult,{},{3;1;0;2}
1,0,Foraging,Waiting Area,Adult,{},{3;1;7;2}
1,1,Foraging,Waiting Area,Adult,{2},{3;0;2}
1,2,Foraging,Foraging,Adult,{3;1},{3;1;0;7}
1,3,Foraging,Foraging,Adult,{2},{1;0;7;2}
1,7,Foraging,Foraging,Adult,{},{3;0;2}
2,0,Foraging,Waiting Area,Adult,{},{3;7}
2,1,Foraging,Waiting Area,Adult,{2},{3;2}
2,2,Foraging,Foraging,Adult,{3;1},{3;1;7}
2,3,Foraging,Foraging,Adult,{2},{1;0;7;2}
2,7,Foraging,Foraging,Adult,{},{3;0;2}
3,0,Foraging,Waiting Area,Adult,{},{3;6;7}
3,1,Foraging,Waiting Area,Adult,{2},{3;2}
3,2,Foraging,Foraging,Adult,{3;1},{3;6;1;7}
3,3,Foraging,Foraging,Adult,{2},{1;7;6;0;2}
3,6,Foraging,Foraging,Adult,{7},{3;7;0;2}
3,7,Foraging,Foraging,Adult,{6},{3;6;0;2}
4,0,Foraging,Waiting Area,Adult,{5},{3;4;5;7}
4,1,Foraging,Foraging,Adult,{3;2},{4;5;3;7;2}
4,2,Foraging,Foraging,Adult,{3;1},{1;4;5;3;7}
4,3,Foraging,Foraging,Adult,{4;1;2},{4;1;5;7;0;2}
4,4,Foraging,Foraging,Adult,{3;7;5},{1;7;5;3;0;2}
4,5,Foraging,Foraging,Adult,{4;0;7},{1;4;7;3;0;2}
4,7,Foraging,Foraging,Adult,{4;5},{1;4;5;3;0;2}
5,0,Foraging,Waiting Area,Adult,{5},{3;4;5;7}
5,1,Foraging,Foraging,Adult,{3;2},{4;5;3;7;2}
5,2,Foraging,Foraging,Adult,{3;1},{1;4;5;3;7}
5,3,Foraging,Foraging,Adult,{4;1;2},{4;1;5;7;0;2}
5,4,Foraging,Foraging,Adult,{3;7;5},{1;7;5;3;0;2}
5,5,Foraging,Foraging,Adult,{4;0;7},{1;4;7;3;0;2}
5,7,Foraging,Foraging,Adult,{4;5},{1;4;5;3;0;2}
6,0,Foraging,Waiting Area,Adult,{5},{3;4;5;7}
6,1,Foraging,Foraging,Adult,{3;2},{3;4;2}
6,2,Foraging,Foraging,Adult,{3;1},{1;4;5;3;7}
6,3,Foraging,Foraging,Adult,{4;1;2},{4;1;5;7;0;2}
6,4,Foraging,Foraging,Adult,{3;7;5},{1;7;5;3;0;2}
6,5,Foraging,Foraging,Adult,{4;0;7},{4;7;3;0;2}
6,7,Foraging,Foraging,Adult,{4;5},{4;5;3;0;2}
7,0,Foraging,Waiting Area,Adult,{5},{4;5;7}
7,1,Foraging,Foraging,Adult,{3;2},{4;5;3;7;2}
7,2,Foraging,Foraging,Adult,{3;1;4},{1;4;5;3;7}
7,3,Foraging,Foraging,Adult,{4;1;2},{4;1;5;7;2}
7,4,Foraging,Foraging,Adult,{3;7;5;2},{1;7;5;3;0;2}
7,5,Foraging,Foraging,Adult,{4;0;7},{1;4;7;3;0;2}
7,7,Foraging,Foraging,Adult,{4;5},{1;4;5;3;0;2}
8,0,Foraging,Waiting Area,Adult,{},{4;5}
8,1,Foraging,Foraging,Adult,{3;2},{3;4;5;2}
8,2,Foraging,Foraging,Adult,{3;1;4},{3;1;5;4}
8,3,Foraging,Foraging,Adult,{4;1;2},{4;1;5;2}
8,4,Foraging,Foraging,Adult,{3;5;2},{1;5;3;0;2}
8,5,Foraging,Foraging,Adult,{4},{1;4;3;0;2}
9,0,Foraging,Waiting Area,Adult,{},{4;5}
9,1,Foraging,Foraging,Adult,{3;4;2},{3;4;5;2}
9,2,Foraging,Foraging,Adult,{3;1;4},{3;1;5;4}
9,3,Foraging,Foraging,Adult,{4;1;2},{4;1;5;2}
9,4,Foraging,Foraging,Adult,{3;1;5;2},{1;5;3;0;2}
9,5,Foraging,Foraging,Adult,{4},{1;4;3;0;2}
10,0,Foraging,Waiting Area,Adult,{},{3;1;4}
10,1,Foraging,Waiting Area,Adult,{3;4;2},{3;4;0;2}
10,2,Foraging,Foraging,Adult,{3;1},{3;1;4}
10,3,Foraging,Foraging,Adult,{4;1;2},{4;1;0;2}
10,4,Foraging,Foraging,Adult,{3;1},{3;1;0;2}
11,0,Foraging,Waiting Area,Adult,{},{3;1;4}
11,1,Foraging,Waiting Area,Adult,{3;4;2},{3;4;0;2}
11,2,Foraging,Foraging,Adult,{3;1},{3;1;4}
11,3,Foraging,Foraging,Adult,{4;1;2},{4;1;0;2}
11,4,Foraging,Foraging,Adult,{3;1},{3;1;0;2}
12,0,Foraging,Waiting Area,Adult,{},{3;1;7;4}
12,1,Foraging,Waiting Area,Adult,{3;4;2},{4;7;3;0;2}
12,2,Foraging,Foraging,Adult,{3;1},{3;1;7;4}
12,3,Foraging,Foraging,Adult,{4;1;2},{4;1;7;0;2}
12,4,Foraging,Foraging,Adult,{3;1;7},{1;7;3;0;2}
12,7,Foraging,Foraging,Adult,{4},{1;4;3;0;2}
13,0,Foraging,Waiting Area,Adult,{},{3;1;4}
