Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,0,Dig burrow,Sand Area,Adult,{},{}
0,1,Moving,Around Mound,Adult,{},{}
0,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
0,3,Groom,Around Mound,Adult,{},{4}
0,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{3;5}
0,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4}
1,0,Dig burrow,Sand Area,Adult,{},{}
1,1,Dig burrow,Sand Area,Adult,{},{}
1,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
1,3,Groom,Around Mound,Adult,{},{}
1,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5}
1,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4}
2,0,Dig burrow,Sand Area,Adult,{},{}
2,1,Dig burrow,Sand Area,Adult,{},{}
2,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
2,3,Groom,Around Mound,Adult,{},{}
2,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5}
2,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4}
3,0,Dig burrow,Sand Area,Adult,{},{}
3,1,Dig burrow,Sand Area,Adult,{},{}
3,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
3,3,Groom,Around Mound,Adult,{},{}
3,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5}
3,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4}
4,0,Dig burrow,Sand Area,Adult,{},{}
4,1,Dig burrow,Sand Area,Adult,{},{}
4,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
4,3,Groom,Around Mound,Adult,{},{}
4,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5}
4,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4}
5,0,Dig burrow,Sand Area,Adult,{},{}
5,1,Dig burrow,Sand Area,Adult,{},{}
5,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
5,3,Groom,Around Mound,Adult,{},{}
5,4,High sitting/standing (Vigilant),Around Mound,Adult,{5},{5}
5,5,High sitting/standing (Vigilant),Around Mound,Adult,{4},{4}
6,0,Dig burrow,Sand Area,Adult,{},{}
6,1,Dig burrow,Sand Area,Adult,{},{}
6,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
