Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
0,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
0,2,High sitting/standing (Vigilant),Mound,Adult,{},{1}
1,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
1,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
1,2,High sitting/standing (Vigilant),Mound,Adult,{},{1}
2,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
2,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
2,2,High sitting/standing (Vigilant),Mound,Adult,{},{1}
3,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
3,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
3,2,High sitting/standing (Vigilant),Mound,Adult,{},{1}
4,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
4,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
4,2,High sitting/standing (Vigilant),Mound,Adult,{},{1}
5,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
5,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
5,2,High sitting/standing (Vigilant),Mound,Adult,{},{1}
6,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
6,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
6,2,High sitting/standing (Vigilant),Mound,Adult,{},{1}
7,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
7,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
7,2,High sitting/standing (Vigilant),Mound,Adult,{},{1}
8,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
8,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
8,2,High sitting/standing (Vigilant),Mound,Adult,{},{1}
9,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
9,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
9,2,High sitting/standing (Vigilant),Mound,Adult,{},{1}
10,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
10,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
10,2,High sitting/standing (Vigilant),Mound,Adult,{},{1}
11,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
11,1,Raised Guarding (Vigilant),Mound,Adult,{},{2}
11,2,Moving,Mound,Adult,{},{1}
12,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
12,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
13,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
13,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
13,2,Moving,Around Mound,Adult,{},{}
14,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
14,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
14,2,Moving,Left Sticks Area,Adult,{},{}
15,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
15,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
16,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
16,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
17,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
17,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
18,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
18,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
19,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
19,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
20,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
20,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
21,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
21,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
22,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
22,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
23,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
23,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
24,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
24,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
25,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
25,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
26,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
26,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
27,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
27,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
28,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
28,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
29,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
29,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
30,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
30,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
31,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
31,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
32,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
32,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
33,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
33,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
34,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
34,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
35,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
35,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
36,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
36,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
37,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
37,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
38,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
38,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
39,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
39,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
40,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
40,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
41,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
41,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
42,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
42,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
43,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
43,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
44,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
44,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
45,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
45,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
46,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
46,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
47,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
47,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
48,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
48,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
49,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
49,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
50,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
50,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
51,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
51,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
52,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
52,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
53,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
53,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
54,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
54,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
55,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
55,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
56,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
56,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
57,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
57,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
58,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
58,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
59,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
59,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
60,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
60,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
61,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
61,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
62,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
62,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
63,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
63,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
64,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
64,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
65,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
65,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
66,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
66,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
67,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
67,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
68,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
68,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
69,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
69,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
70,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
70,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
71,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
71,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
72,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
72,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
73,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
73,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
74,0,Raised Guarding (Vigilant),Mound,Adult,{},{}
74,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
