Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,0,Foraging,Foraging,Adult,{},{1}
0,1,Foraging,Foraging,Adult,{},{0}
0,2,Groom,Background,Adult,{},{}
0,3,Lying/resting (stationary),Background,Adult,{},{}
1,0,Foraging,Foraging,Adult,{},{1}
1,1,Foraging,Foraging,Adult,{},{0}
1,2,Groom,Background,Adult,{},{}
1,3,Lying/resting (stationary),Background,Adult,{},{}
2,0,Foraging,Foraging,Adult,{},{1}
2,1,Foraging,Foraging,Adult,{},{0}
2,2,Groom,Background,Adult,{},{}
2,3,Lying/resting (stationary),Background,Adult,{},{}
3,0,Foraging,Foraging,Adult,{},{}
3,1,Foraging,Foraging,Adult,{},{}
3,2,Groom,Background,Adult,{},{}
3,3,Lying/resting (stationary),Background,Adult,{},{}
4,0,Foraging,Foraging,Adult,{},{}
4,1,Foraging,Foraging,Adult,{},{}
4,2,Groom,Background,Adult,{},{}
4,3,Lying/resting (stationary),Background,Adult,{},{}
5,0,Foraging,Foraging,Adult,{},{}
5,1,Foraging,Foraging,Adult,{},{}
5,2,Groom,Background,Adult,{},{}
5,3,Lying/resting (stationary),Background,Adult,{},{}
6,0,Foraging,Foraging,Adult,{},{}
6,1,Foraging,Foraging,Adult,{},{}
6,2,Groom,Background,Adult,{},{}
6,3,Lying/resting (stationary),Background,Adult,{},{}
7,0,Foraging,Foraging,Adult,{},{}
7,1,Foraging,Foraging,Adult,{},{}
7,2,Groom,Background,Adult,{},{}
7,3,Lying/resting (stationary),Background,Adult,{},{}
8,0,Foraging,Foraging,Adult,{},{}
8,1,Foraging,Foraging,Adult,{},{}
8,2,Moving,Background,Adult,{},{}
8,3,Lying/resting (stationary),Background,Adult,{},{}
9,0,Foraging,Foraging,Adult,{},{}
9,1,Foraging,Foraging,Adult,{},{}
9,2,Moving,Background,Adult,{},{3}
9,3,Lying/resting (stationary),Background,Adult,{},{2}
10,0,Foraging,Foraging,Adult,{},{}
10,1,Foraging,Foraging,Adult,{},{}
10,2,Moving,Background,Adult,{},{3}
10,3,Lying/resting (stationary),Background,Adult,{},{2}
11,0,Foraging,Foraging,Adult,{},{}
11,1,Foraging,Foraging,Adult,{},{}
11,2,Moving,Background,Adult,{},{3}
11,3,Lying/resting (stationary),Background,Adult,{},{2}
12,0,Foraging,Foraging,Adult,{},{}
12,1,Foraging,Foraging,Adult,{},{}
12,2,Moving,Background,Adult,{3},{3}
12,3,Lying/resting (stationary),Background,Adult,{2},{2}
13,0,Foraging,Foraging,Adult,{},{}
13,1,Foraging,Foraging,Adult,{},{}
13,2,Moving,Background,Adult,{3},{3}
13,3,Lying/resting (stationary),Background,Adult,{2},{2}
14,0,Foraging,Foraging,Adult,{},{}
14,1,Foraging,Foraging,Adult,{},{}
14,2,Moving,Background,Adult,{3},{3}
14,3,Lying/resting (stationary),Background,Adult,{2},{2}
15,0,Foraging,Foraging,Adult,{},{}
15,1,Foraging,Foraging,Adult,{},{}
15,2,Moving,Background,Adult,{3},{3}
15,3,Lying/resting (stationary),Background,Adult,{2},{2}
16,0,Foraging,Foraging,Adult,{},{}
16,1,Foraging,Foraging,Adult,{},{}
16,3,Lying/resting (stationary),Background,Adult,{},{}
17,0,Foraging,Foraging,Adult,{},{}
17,1,Foraging,Foraging,Adult,{},{}
17,3,Lying/resting (stationary),Background,Adult,{},{}
18,0,Foraging,Foraging,Adult,{},{}
18,1,Foraging,Foraging,Adult,{},{}
18,3,Lying/resting (stationary),Background,Adult,{},{}
19,0,Foraging,Foraging,Adult,{},{}
19,1,Foraging,Foraging,Adult,{},{}
19,3,Lying/resting (stationary),Background,Adult,{},{}
20,0,Foraging,Foraging,Adult,{},{}
20,1,Foraging,Foraging,Adult,{},{}
20,3,Lying/resting (stationary),Background,Adult,{},{}
21,0,Foraging,Foraging,Adult,{},{}
21,1,Foraging,Foraging,Adult,{},{}
21,3,Lying/resting (stationary),Background,Adult,{},{}
22,0,Foraging,Foraging,Adult,{},{}
22,1,Foraging,Foraging,Adult,{},{}
22,3,Lying/resting (stationary),Background,Adult,{},{}
23,0,Foraging,Foraging,Adult,{},{}
23,1,Foraging,Foraging,Adult,{},{}
23,3,Lying/resting (stationary),Background,Adult,{},{}
24,0,Foraging,Foraging,Adult,{},{}
24,1,Foraging,Foraging,Adult,{},{}
24,3,Lying/resting (stationary),Background,Adult,{},{}
25,0,Foraging,Foraging,Adult,{},{}
25,1,Foraging,Foraging,Adult,{},{}
25,3,Lying/resting (stationary),Background,Adult,{},{}
26,0,Foraging,Foraging,Adult,{},{}
26,1,Foraging,Foraging,Adult,{},{}
26,3,Lying/resting (stationary),Background,Adult,{},{}
27,0,Foraging,Foraging,Adult,{},{1}
27,1,Foraging,Foraging,Adult,{},{0}
27,3,Lying/resting (stationary),Background,Adult,{},{}
28,0,Foraging,Foraging,Adult,{},{1}
28,1,Foraging,Foraging,Adult,{},{0}
28,3,Lying/resting (stationary),Background,Adult,{},{}
29,0,Foraging,Foraging,Adult,{},{1}
29,1,Foraging,Foraging,Adult,{},{0}
29,3,Lying/resting (stationary),Background,Adult,{},{}
30,0,Foraging,Foraging,Adult,{},{1}
30,1,Foraging,Foraging,Adult,{},{0}
30,3,Lying/resting (stationary),Background,Adult,{},{}
31,0,Foraging,Foraging,Adult,{},{1}
31,1,Foraging,Foraging,Adult,{},{0}
31,3,Lying/resting (stationary),Background,Adult,{},{}
32,0,Foraging,Foraging,Adult,{},{1}
32,1,Foraging,Foraging,Adult,{},{0}
32,3,Lying/resting (stationary),Background,Adult,{},{}
33,0,Foraging,Foraging,Adult,{},{1}
33,1,Foraging,Foraging,Adult,{},{0}
33,3,Lying/resting (stationary),Background,Adult,{},{}
34,0,Foraging,Foraging,Adult,{},{1}
34,1,Foraging,Foraging,Adult,{},{0}
34,3,Lying/resting (stationary),Background,Adult,{},{}
35,0,Foraging,Foraging,Adult,{},{1}
35,1,Foraging,Foraging,Adult,{},{0}
35,3,Lying/resting (stationary),Background,Adult,{},{}
36,0,Foraging,Foraging,Adult,{},{1}
36,1,Foraging,Foraging,Adult,{},{0}
36,2,Lying/resting (stationary),Background,Adult,{3},{3}
36,3,Lying/resting (stationary),Background,Adult,{2},{2}
37,0,Foraging,Foraging,Adult,{},{1}
37,1,Foraging,Foraging,Adult,{},{0}
37,3,Lying/resting (stationary),Background,Adult,{},{}
38,0,Foraging,Foraging,Adult,{},{1}
38,1,Foraging,Foraging,Adult,{},{0}
38,2,Moving,Background,Adult,{3},{3}
38,3,Lying/resting (stationary),Background,Adult,{2},{2}
39,0,Foraging,Foraging,Adult,{},{1}
39,1,Foraging,Foraging,Adult,{},{0}
39,2,Moving,Background,Adult,{},{}
39,3,Lying/resting (stationary),Background,Adult,{},{}
40,0,Foraging,Foraging,Adult,{},{1}
40,1,Foraging,Foraging,Adult,{},{0}
40,2,Low sitting/standing (stationary),Background,Adult,{},{}
40,3,Lying/resting (stationary),Background,Adult,{},{}
41,0,Moving,Foraging,Adult,{},{1}
41,1,Foraging,Foraging,Adult,{},{0}
41,2,Low sitting/standing (stationary),Background,Adult,{},{}
41,3,Lying/resting (stationary),Background,Adult,{},{}
42,0,Moving,Foraging,Adult,{},{1}
42,1,Foraging,Foraging,Adult,{},{0}
42,2,Moving,Background,Adult,{},{}
42,3,Lying/resting (stationary),Background,Adult,{},{}
43,0,Moving,Foraging,Adult,{},{1}
43,1,Foraging,Foraging,Adult,{},{0}
43,3,Lying/resting (stationary),Background,Adult,{},{}
44,0,Moving,Foraging,Adult,{},{}
44,3,Lying/resting (stationary),Background,Adult,{},{}
45,0,Foraging,Foraging,Adult,{},{}
45,3,Lying/resting (stationary),Background,Adult,{},{}
46,0,Foraging,Foraging,Adult,{},{}
46,3,Lying/resting (stationary),Background,Adult,{},{}
47,0,Foraging,Foraging,Adult,{},{1}
47,1,Foraging,Foraging,Adult,{},{0}
47,3,Lying/resting (stationary),Background,Adult,{},{}
48,0,Foraging,Foraging,Adult,{},{1}
48,1,Foraging,Foraging,Adult,{},{0}
48,3,Lying/resting (stationary),Background,Adult,{},{}
49,0,Foraging,Foraging,Adult,{},{1}
49,1,Foraging,Foraging,Adult,{},{0}
49,3,Lying/resting (stationary),Background,Adult,{},{}
50,5,Moving,Background,Adult,{},{}
50,0,Foraging,Foraging,Adult,{},{1}
50,1,Foraging,Foraging,Adult,{},{0}
50,3,Lying/resting (stationary),Background,Adult,{},{}
51,5,Lying/resting (stationary),Background,Adult,{},{}
51,0,Foraging,Foraging,Adult,{},{1}
51,1,Foraging,Foraging,Adult,{},{0}
51,3,Lying/resting (stationary),Background,Adult,{},{}
52,5,Lying/resting (stationary),Background,Adult,{},{}
52,0,Foraging,Foraging,Adult,{},{1}
52,1,Foraging,Foraging,Adult,{},{0}
52,3,Lying/resting (stationary),Background,Adult,{},{}
53,5,Lying/resting (stationary),Background,Adult,{},{}
53,0,Foraging,Foraging,Adult,{},{1}
53,1,Foraging,Foraging,Adult,{},{0}
53,3,Lying/resting (stationary),Background,Adult,{},{}
54,5,Lying/resting (stationary),Background,Adult,{},{}
54,0,Foraging,Foraging,Adult,{},{1}
54,1,Foraging,Foraging,Adult,{},{0}
54,3,Lying/resting (stationary),Background,Adult,{},{}
55,5,Lying/resting (stationary),Background,Adult,{},{}
55,0,Foraging,Foraging,Adult,{1},{1}
55,1,Foraging,Foraging,Adult,{0},{0}
55,3,Lying/resting (stationary),Background,Adult,{},{}
56,5,Lying/resting (stationary),Background,Adult,{},{}
56,0,Foraging,Foraging,Adult,{1},{1}
56,1,Foraging,Foraging,Adult,{0},{0}
56,3,Lying/resting (stationary),Background,Adult,{},{}
57,5,Lying/resting (stationary),Background,Adult,{},{}
